ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1- ай: Бири-бири менен таанышуу,1st month,"<p>
Балаңыздын жүрүм-турумун байкап, биринчи айдын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз же медайымыңыз менен сүйлөшүңүз: 
</p><ul><li>
Балаңыз көп ыйлайт, сиз аны соорото албай жатасыз 
</li><li>  
Ал начар соруп, жай тамактанат   
</li><li>  
Ал адаттагыдан  көп уктайт (күнүнө 16 сааттан ашык) же тынч уктабайт 
</li><li>  
Ал колу-бутун таптакыр кыймылдатбайт 
</li><li>  
Катуу үн чыкканда ал чочуп кетпейт 
</li><li>  
Ал жаркыраган жарыктарга көзүн ирмебейт.
</li></ul>",1,published
12002,2-ай: Бири-бирине көнүшүү жана күнүмдүк тартип орнотуу,2nd month,"<p>
Балаңыздын жүрүм-турумун байкап, экинчи айдын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз же медайымыңыз менен сүйлөшүңүз:
</p><ul><li>
наристе көп ыйлайт, аны жоошутуу оңой эмес
</li><li>  
кыска убакытка да жүздөрдү карабай жатат
</li><li>    
жаркыраган жарыкка же катуу үндөргө жооп бербейт
</li><li>  
ал тамактанбай жатат же жакшы уктабайт (же күнүнө 16 сааттан ашык уктайт)
</li><li>   
колу-бутун таптакыр кыймылдатбайт
</li><li> 
колун оозуна алып барбайт 
</li><li>   
адамдарга жылмайбайт.
</li></ul>",1,published
12003,3-4 ай - Ар түрдүү тажрыйба,3-4 months,"<p>
Балаңыздын жүрүм-турумун байкап,төртүнчу айдын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз же медайымыңыз менен сүйлөшүңүз:  
</p><ul><li>
 көп ыйлайт, аны соорото албайсыз
</li><li>  
көзү аркылуу контакт жасабайт же адамдардын жүзүнө көңүл бурбайт  
</li><li>   
кыймылдап жаткан нерселерди карабайт 
</li><li>    
эч кандай үн чыгарбайт же үндөргө жооп бербейт 
</li><li>    
башын туруктуу кармай албайт 
</li><li>   
алдында турган оюнчукка же буюмга жетпей жатат
</li><li>  
оозуна бир нерсени алып келбейт.
</li></ul>  ",1,published
12004,5-6 ай - Интенсивдүү изилдөө,5-6 months,"<p>
Балаңыздын жүрүм-турумун байкап, алтынчы айдын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз же медайымыңыз менен сүйлөшүңүз:  
</p><ul><li>
үзгүлтүксүз узак убакыт бою ыйлап, сооронбойт
</li><li>
сиз менен көз аркылуу контакт кылбайт же кыймылдаган нерселерди көзү менен ээрчип карабайт   
</li><li>
кобурабайт, үн чыккан жакты көздөй бурулбайт 
</li><li>
күлбөйт же кыйкырбайт 
</li><li>
оодарылбайт  
</li><li>
мойнун жана башын башкара албайт  
</li><li>
сиздин жардамыңыз жана колдооңуз менен дагы отура албайт  
</li><li>
көмөктөшкөн учурда деле буюмдарга таптакыр жетпейт
</li><li>
жете турган нерселерди алууга аракет кылбайт
</li><li>
 оозуна бир нерселерди жеткирүү кыйынга турат. 
</li></ul>
",1,published
12005,7-9 ай - Жаңы ачылыштар,7-9 months,"<p>
Балаңыздын жүрүм-турумун байкап, тогузунчу айдын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз же медайымыңыз менен сүйлөшүңүз: 
</p><ul><li>
сиз менен көз аркылуу контакт кылбаса же кыймылдаган нерселерди көзү менен ээрчип карабаса 
</li><li> 
кобурабайт (""апа"", ""ата"" ж.б.)
</li><li>
башын үн чыккан жакка бурбайт  
</li><li>
сиз көрсөткөн жакка карабайт
</li><li>
өзүнүн камкорчуларына мээримин көрсөтпөйт - аларга жылмайбайт   
</li><li>
өзүнүн атына жооп бербейт
</li><li>
тааныш адамдарды тааныбагандай
</li><li>
тоголонбойт
</li><li>  
аны көтөргөндө, ал же аябай ийилчээк, же өтө эле катуу  
</li><li>
ал сиздин жардамыңыз жана колдооңуз менен деле отура албайт
</li><li>
жана катуу тамакты жегенде кыйынчылыктарга туш болот.
</li></ul>",1,published
12006,10-12 ай: Адаттарды жана ырааттуулукту орнотуу,10-12 months,"<p>
Балаңыздын жүрүм-турумун байкап, биринчи жылынын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз же медайымыңыз менен сүйлөшүңүз:
</p><ul><li>
сизди тиктебейт же кыймылдаган нерселерди көзү менен ээрчип карабайт  
</li><li>
үндөргө кызыкпайт 
</li><li>
аны чакырганда атына жооп бербейт
</li><li>
кобурабайт
</li><li>
каалоолорун же муктаждыктарын кандайдыр бир жол менен билдирүүгө аракет кылып жаткан жок 
</li><li>
буюмдарды көрсөтпөйт  
</li><li>
эмоцияны көрсөтпөйт
</li><li>
сойлобойт
</li></ul> 
",1,published
12007,13-18 ай - Биринчи кадам жана биринчи сөз,13-18 months,"<p>
Балаңыздын жүрүм-турумун байкап, балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз менен сүйлөшүңүз:
</p><ul><li>
кээ бир нерселерди көрүүдө же угууда кыйналып жатат  
</li><li>
бир дагы сөз айтпайт 
</li><li>
жөнөкөй көрсөтмөлөрдү аткаруу кыйынга турат
</li><li>
баарлашууда кыймыл-аракетти жана жаңсоолорду колдонбойт   
</li><li>
сиз менен көз аркылуу байланышпайт жана эркелебейт 
</li><li>
өз алдынча жүрбөйт. 
</li></ul>",1,published
12008,19-24 айлар - өз алдынчалыктын башталышы,19-24 months,"<p>
Балаңыздын жүрүм-турумун байкап, экинчи жылынын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз менен сүйлөшүңүз:
</p><ul><li> 
Сизге карабайт (көз менен байланыш жасабайт)
</li><li>
кээ бир нерселерди көрүү же угууда кыйынчылыктарга туш болсо 
</li><li>
бир дагы сөз айтпайт  
</li><li>
буюмдарды көрсөтпөйт
</li><li>
жөнөкөй көрсөтмөлөрдү аткарбайт   
</li><li>
сезимдерин көрсөтпөйт 
</li><li>
туруктуу баспай жатат 
</li></ul>
",1,published
12009,25-36 ай - Элестетүү гүлдөп баштайт,25-36 months,"<p>
Балаңыздын жүрүм-турумун байкап, үчүнчү жылынын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз менен сүйлөшүңүз:
</p><ul><li>
Сизди карабайт (көзү менен контакт кылбайт)
</li><li>
кээ бир нерселерди угууда же көрүүдө кыйынчылыктарга туш болот 
</li><li>
кыска сүйлөмдөр менен сүйлөбөйт (кеминде 3 сөздү бириктирип)   
</li><li>
абдан түшүнүксүз сүйлөйт   
</li><li>
жөнөкөй көрсөтмөлөрдү аткарбайт
</li><li>
башка балдар менен же оюнчуктар жана башка нерселер менен ойногусу келбейт
</li><li>
элестүү оюнду же оюнан чыгарып ойнобойт 
</li><li>
чуркай албайт 
</li><li>
чиймелебейт же сүрөт тартбайт  
</li><li>
колунда кичинекей буюмдарды кармай албайт.
</li></ul>",1,published
12010,37-48 ай- Суроо берүү,37-48 months ,"<p>
Балаңыздын жүрүм-турумун байкап, төртүнчү жылынын аягында балаңызда төмөнкүлөр бар экендигин байкасаңыз, педиатрыңыз  менен сүйлөшүңүз:  
</p><ul><li>                                                                                                                                                                                Башкалар менен оюн ойноого же чыныгы/ жасалма оюндарды ойногонго кызыгуу көрсөтпөйт
</li><li>
Башка балдарга кошулбайт же үй-бүлөдөн тышкары адамдарга жооп бербейт
</li><li>
Ордунда секире албайт
</li><li>
Жазуу кыйынга турат (кагазга белгилерди жасоодо кыйналат)
</li><li>
 Үч бөлүктөн турган көрсөтмөнү аткарбайт
</li><li>
Сүйүктүү аңгемесин айта албайт
</li></ul>",1,published
