ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,Mjesec dana – Upoznavanje,1st month,"<p>
Posmatrajte ponašanje Vaše bebe i razgovarajte s pedijatrom ili patronažnom sestrom ako na kraju prvog mjeseca primijetite da Vaša beba:  
</p><ul><li>
puno plače, a Vi ne uspijevate da je utješite 
</li><li>  
slabo sisa i hrani se vrlo sporo  
</li><li>  
spava više nego što se očekuje (više od 16 sati dnevno), ili ne spava mirno
</li><li>  
uopšte ne pomjera ruke niti noge  
</li><li>  
ne trgne se na jak zvuk ili buku 
</li><li>  
ne trepće pri jakoj svjetlosti.
</li></ul>",1,published
12002,Dva mjeseca – Međusobno prilagođavanje i uspostavljanje rutina,2nd month,"<p>
Posmatrajte ponašanje Vaše bebe i razgovarajte s pedijatrom ili patronažnom sestrom ako na kraju drugog mjeseca primijetite da Vaša beba: 
</p><ul><li>
često plače, a Vi obično ne možete da je umirite
</li><li>  
ne posmatra lica, čak ni nakratko
</li><li>    
ne reaguje na jako svjetlo ili na glasne zvukove
</li><li>  
ne hrani se ili ne spava dobro (ili spava više od 16 sati dnevno)
</li><li>   
uopšte ne pomjera ruke ili noge
</li><li> 
ne prinosi ruke ustima 
</li><li>   
ne osmjehuje se ljudima.
</li></ul>",1,published
12003,3–4 mjeseca – Raznovrsna iskustva,3-4 months,"<p>
Posmatrajte ponašanje Vaše bebe i razgovarajte s pedijatrom ili patronažnom sestrom ako na kraju četvrtog mjeseca primijetite da Vaša beba:  
</p><ul><li>
često plače i ne možete da je umirite
</li><li>  
ne ostvaruje kontakt očima, ne obraća pažnju na lica ljudi  
</li><li>   
ne prati pogledom predmete koji se pomjeraju
</li><li>    
ne proizvodi zvuke niti odgovara na zvuke
</li><li>    
ne može da drži glavu stabilno
</li><li>   
ne poseže za igračkom ili predmetom ispred sebe
</li><li>  
ne prinosi predmete ustima.
</li></ul>  ",1,published
12004,5–6 mjeseci – Intenzivno istraživanje,5-6 months,"<p>
Posmatrajte ponašanje Vaše bebe i razgovarajte s pedijatrom ili patronažnom sestrom ako na kraju šestog mjeseca primijetite da Vaša beba:  
</p><ul><li>
često dugo plače i ne možete da je umirite  
</li><li>
ne ostvaruje kontakt očima i ne prati pogledom predmete koji se pomjeraju  
</li><li>
ne brblja i ne okreće se ka izvoru zvuka  
</li><li>
ne smije se, ne ciči  
</li><li>
ne prevrće se  
</li><li>
ne kontroliše vrat i glavu
</li><li>
ne sjedi, čak ni uz Vašu pomoć i podršku
</li><li>
ne poseže za predmetima ni uz Vaše ohrabrivanje
</li><li>
ne poseže za stvarima koje su na dohvat ruke
</li><li>
ima teškoće da prinese stvari ustima. 
</li></ul>
",1,published
12005,7–9 mjeseci – Nova otkrića,7-9 months,"<p>
Posmatrajte ponašanje Vaše bebe i razgovarajte s pedijatrom ili patronažnom sestrom ako na kraju devetog mjeseca primijetite da Vaša beba:  
</p><ul><li>
ne uspostavlja kontakt očima s Vama i ne prati pogledom predmete koji se pomjeraju
</li><li> 
ne brblja (ma-ma, da-da itd.)
</li><li>
ne okreće se ka izvoru zvuka  
</li><li>
ne gleda u pravcu koji pokazujete
</li><li>
ne ispoljava osjećanja prema onima koji se brinu o njoj – ne osmjehuje im se
</li><li>
ne reaguje na sopstveno ime
</li><li>
ne prepoznaje poznate ljude
</li><li>
ne prevrće se
</li><li>  
kad je podignete, mlitavo visi ili je previše ukočena  
</li><li>
ne sjedi, ni uz Vašu podršku  
</li><li>
s teškoćom jede čvrstu hranu.
</li></ul>",1,published
12006,10–12 mjeseci – Uspostavljanje navika i dosljednosti,10-12 months,"<p>
Posmatrajte ponašanje Vašeg djeteta i razgovarajte s pedijatrom ako na kraju prve godine primijetite da Vaša beba: 
</p><ul><li>
ne uspostavlja kontakt očima i ne prati pogledom predmete koji se pomjeraju 
</li><li>
ne interesuju je zvuci 
</li><li>
ne odaziva se kad je pozovete po imenu 
</li><li>
ne brblja 
</li><li>
ni na koji način ne pokazuje šta joj je potrebno, šta želi 
</li><li>
ne pokazuje predmete prstom
</li><li>
ne ispoljava osjećanja
</li><li>
ne puzi.
</li></ul>",1,published
12007,13–18 mjeseci – Prvi korak i prva riječ,13-18 months,"<p>
Posmatrajte ponašanje Vašeg djeteta i razgovarajte s pedijatrom ako primijetite da Vaše dijete: 
</p><ul><li>
ima teškoće da vidi ili čuje neke stvari  
</li><li>
ne izgovara nijednu riječ 
</li><li>
teško slijedi uputstva, čak i ona direktna  
</li><li>
ne koristi gestove u komunikaciji, ne pokazuje prstom  
</li><li>
ne uspostavlja kontakt očima s Vama i ne mazi se  
</li><li>
ne hoda samostalno. 
</li></ul>",1,published
12008,19–24 mjeseca – Osamostaljivanje,19-24 months,"<p>
Pratite ponašanje Vašeg djeteta i razgovarajte s pedijatrom ako na kraju druge godine primijetite da Vaše dijete:
</p><ul><li> 
ne gleda u Vas (nema kontakta očima)
</li><li>
ima teškoće da čuje ili da vidi određene stvari 
</li><li>
ne izgovara nijednu riječ
</li><li>
ne pokazuje prstom predmete
</li><li>
ne slijedi jednostavne instrukcije  
</li><li>
ne ispoljava osjećanja  
</li><li>
ne hoda stabilno.
</li></ul>
",1,published
12009,25–36 mjeseci – Mašta počinje da cvjeta,25-36 months,"<p>
Pratite ponašanje Vašeg djeteta i razgovarajte s pedijatrom ako na kraju treće godine primijetite da Vaše dijete: 
</p><ul><li>
ne gleda u Vas (nema kontakta očima)
</li><li>
ima teškoće da čuje ili da vidi određene stvari  
</li><li>
ne izgovara kratke rečenice (s barem tri riječi)  
</li><li>
veoma nerazgovjetno govori 
</li><li>
ne slijedi jednostavna uputstva 
</li><li>
ne želi da se igra s drugom djecom niti s igračkama i drugim predmetima 
</li><li>
ne igra se pretvaranja / „kobajagi” igara
</li><li>
ne može da trči
</li><li>
ne crta, ne škraba  
</li><li>
ne može da drži male predmete u šaci.  
</li></ul>",1,published
12010,37–48 mjeseci – Postavljanje pitanja,37-48 months ,"<p>
Pratite ponašanje Vašeg djeteta i razgovarajte s pedijatrom ako na kraju četvrte godine primijetite da Vaše dijete:    
</p><ul><li>
ne pokazuje nikakvo interesovanje da se igra s drugima ili da se igra pretvaranja / „kobajagi“ igara
</li><li>
ignoriše drugu djecu ili ne odgovara osobama van porodice
</li><li>
ne može da skoči u mjestu
</li><li>
ima teškoće pri crtanju, škrabanju (ostavljanju bilo kakvog traga na papiru)
</li><li>
ne slijedi instrukcije koje imaju tri dijela
</li><li>
ne može da ispriča omiljenu priču.
</li></ul>",1,published
