ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 месец - се запознавате со вашето дете,1st month,"<p>
Набљудувајте го однесувањето на вашето дете и разговарајте со педијатар или патронажна сестра доколку забележите дека вашето дете на крајот од првиот месец:  
</p><ul><li>
многу плаче, а вие не можете да го смирите 
</li><li>  
слабо цица и се храни многу бавно
</li><li>  
спие повеќе од очекуваното (повеќе од 16 часа на ден), или не спие мирно  
</li><li>  
воопшто не ги мрда рацете или нозете  
</li><li>  
не се плаши ако има гласни звуци 
</li><li>  
не трепка на силна светлина.
</li></ul>",1,published
12002,2 месеци - прилагодување и воспоставување на рутини,2nd month,"<p>
Набљудувајте го однесувањето  на вашето дете и разговарајте со педијатар или патронажна сестра доколку забележите дека вашето дете на крајот од вториот месец: 
</p><ul><li>
често многу плаче, а вие вообичаено не сте во состојба да го смирите
</li><li>  
не гледа во лица дури и накратко
</li><li>    
не реагира на силна светлина или гласни звуци
</li><li>  
не се храни и не спие добро (или спие повеќе од 16 часа на ден)
</li><li>   
воопшто не ги движи рацете или нозете
</li><li> 
не ги става рацете во уста
</li><li>   
не се смее на луѓе.
</li></ul>",1,published
12003,3 и 4 месеци - различни искуства,3-4 months,"<p>
Набљудувајте го однесувањето на вашето дете и разговарајте со педијатар или патронажна сестра доколку забележите дека вашето дете на крај од четвртиот месец:  
</p><ul><li>
 Често многу плаче и не може да се смири
</li><li>  
не воспоставува контакт со очи или не обраќа внимание на лица  
</li><li>   
не гледа во предмети како што се движат 
</li><li>    
не пушта глас или не реагира на гласови
</li><li>    
не може да ја држи главата исправено 
</li><li>   
не посегнува по играчки или предмети кои се пред него
</li><li>  
не става предмети во уста. 
</li></ul>  ",1,published
12004,5-6 месеци - интензивни откритија,5-6 months,"<p>
Набљудувајте го однесувањето на вашето дете и разговарајте со педијатар или патронажна сестра доколку забележите дека вашето дете на крај од шестиот месец:  
</p><ul><li>
редовно плаче долго време и не може да се смири  
</li><li>
не воспоставува контакт со очи со вас или не следи предмети кои се движат со очите  
</li><li>
не гуга или не се врти кон изворот на звук  
</li><li>
не се смее или не испушта крици   
</li><li>
не се превртува   
</li><li>
нема контрола на вратот и главата  
</li><li>
не може да седи, дури ни со ваша помош и поддршка   
</li><li>
воопшто не посегнува по предмети, дури и кога вие о охрабрувате да го направи тоа
</li><li>
не се обидува да дофати предмети кои му се на дофат 
</li><li>
 има потешкотии да ги стави предметите во уста. 
</li></ul>
",1,published
12005,7-9 месеци - нови откритија,7-9 months,"<p>
Набљудувајте го однесувањето на вашето дете и разговарајте со педијатар или патронажна сестра доколку забележите дека вашето дете на крај од деветтиот месец:  
</p><ul><li>
не воспоставува контак со очи со вас или не следи со очите предмети кои се движат
</li><li> 
не гуга (“мама,” “дада,” итн.) 
</li><li>
не ја врти главата кон извор на звук 
</li><li>
не гледа таму каде што му покажувате
</li><li>
не покажува чувства за оние кои го чуваат – не им се насмевнува  
</li><li>
не реагира на сопственото име
</li><li>
се чини дека не препознава познати лица
</li><li>
не се превртува
</li><li>  
кога ќе го кренете, или е млитаво или премногу стегнато  
</li><li>
не може да седи, дури ни со ваша помош и поддршка  
</li><li>
има потешкотии да јаде цврста храна. 
</li></ul>",1,published
12006,10-12 месеци воспоставување на навики и конзистентност,10-12 months,"<p>
<p>
Набљудувајте го однесувањето на вашето дете и разговарајте со педијатар или патронажна сестра доколку забележите дека вашето дете на крај од првата одина: 
</p><ul><li>
не воспоставува контакт со очи со вас или не следи со очите предмети кои се движат 
</li><li>
не се интересира за звуци 
</li><li>
не одговара кога ќе го викнете по име 
</li><li>
не гуга 
</li><li>
не се обидува да ви покаже на никаков начин кои се неговите желби или потреби 
</li><li>
не покажува кон предмети 
</li><li>
не покажува емоции 
</li><li>
не лази
</li></ul> 
",1,published
12007,13-18 месеци - први чекори и први зборови,13-18 months,"<p>
Набљудувајте го однесувањето на вашето дете и разговарајте со педијатар доколку забележите дека вашето дете: 
</p><ul><li>
има потешкотии да види или да слушне некои работи  
</li><li>
не кажува ниту еден збор  
</li><li>
тешко му е да следи наједноставни инструкции  
</li><li>
не гестикулира или покажува за време на разговор  
</li><li>
не воспоставува контакт со очи со вас и не се гушка  
</li><li>
не оди самостојно . 
</li></ul>",1,published
12008,19-24 месеци - стануваме независни,19-24 months,"<p>
<p>
Следете го однесувањето на вашето дете и разговарајте со педијатар доколку забележите дека вашето дете:
</p><ul><li> 
не гледа во вас (контакт со очи)
</li><li>
има потешкотија да види или слушне некои работи  
</li><li>
не изговара ниту еден збор  
</li><li>
не покажува кон предмети  
</li><li>
не следи едноставни инструкции  
</li><li>
не покажува чувства  
</li><li>
не оди стабилно  
</li></ul>
",1,published
12009,25-36 месеци - имагинацијата почнува да цвета,25-36 months,"<p>
Следете го однесувањето на вашето дете и разговарајте со педијатар доколку забележите дека вашето дете: 
</p><ul><li>
Не гледа во вас (контакт со очи)
</li><li>
има потешкотии да слушне или види некои работи  
</li><li>
не кажува кратки реченици (барем 3 збора заедно)  
</li><li>
зборува многу нејасно  
</li><li>
не следи едноставни инструкции  
</li><li>
не сака да си игра со други деца или со играчки или други предмети 
</li><li>
не се преправа додека игра  
</li><li>
не може да трча  
</li><li>
не шкрта или не црта  
</li><li>
не може да држи мали предмети во раката.  
</li></ul>",1,published
12010,37-48 месеци - поставуваме прашања,37-48 months ,"<p>
Следете го однесувањето на вашето дете и разговарајте со педијатар доколку забележите дека вашето дете:   
</p><ul><li>                                                                                                                                                                                Не покажува никаков интерес да си игра со други или да прави божемски/измислени игри
</li><li>
Игнорира други деца и не реагира на лица надвор од семејството
</li><li>
Не може да скокне во место
</li><li>
Има потешкотии да шкрта (да остава траги на хартија)
</li><li>
 Не следи инструкција која има три дела
</li><li>
Не може да раскаже омилена приказна
</li></ul>",1,published
