ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 месяц - знакомство друг с другом,1st month,"<p>
Понаблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что к концу первого месяца ваш ребенок:  
</p><ul><li>
много плачет, и у вас не получается успокоить его 
</li><li>  
плохо сосет и очень медленно ест  
</li><li>  
спит больше ожидаемого времени (более 16 часов в сутки) или беспокойный сон
</li><li>  
совсем не двигает руками или ногами  
</li><li>  
не вздрагивает при громком звуке
</li><li>  
не мигает при ярком свете
</li></ul>",1,published
12002,2 месяца - Взаимные корректировки и установление распорядка,2nd month,"<p>                                                                               
Понаблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что к концу второго месяца ваш ребенок: 
</p><ul><li>
часто плачет, и у вас не получается успокоить его
</li><li>  
не смотрит в лицо даже на короткое время
</li><li>    
не реагирует на яркий свет или громкие звуки
</li><li>  
плохо ест или спит (или спит более 16 часов в сутки)
</li><li>   
совсем не двигает руками или ногами
</li><li> 
не подносит руки ко рту
</li><li>   
не улыбается людям 
</li></ul>",1,published
12003,3-4 месяца Разнообразный опыт,3-4 months,"<p>
Понаблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что к концу четвертого месяца ваш ребенок:
</p><ul><li>
 часто много плачет и не может успокоиться
</li><li>  
не смотрит в глаза и не обращает внимания на лица людей
</li><li>   
не наблюдает за движением предметов
</li><li>    
не издает никаких звуков и не реагирует на звуки
</li><li>    
не может устойчиво держать голову
</li><li>   
не тянется к игрушке или предмету, которые находятся перед ним
</li><li>  
не подносит предметы ко рту 
</li></ul>  ",1,published
12004,5-6 месяцев - Интенсивное исследование,5-6 months,"<p>
Понаблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что к концу шестого месяца ваш ребенок: 
</p><ul><li>
постоянно долго плачет и не может успокоиться  
</li><li>
не смотрит вам в глаза или не следит глазами за движущимися объектами  
</li><li>
не лепечет и не поворачивается к источнику звука  
</li><li>
не смеется и не визжит  
</li><li>
не переворачивается  
</li><li>
не управляет шеей  и головой
</li><li>
не может сидеть даже с вашей помощью и поддержкой 
</li><li>
совсем не тянется к предметам, даже когда вы его поощряете к этому
</li><li>
не пытается достать то, что находится в пределах досягаемости
</li><li>
испытывает трудности с поднесением чего-либо ко рту 
</li></ul>
",1,published
12005,7-9 месяцев - Новые открытия,7-9 months,"<p>
Понаблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что к концу девятого месяца ваш ребенок: 
</p><ul><li>
не смотрит вам в глаза или не следит глазами за движущимися объектами
</li><li> 
не лепечет («мама», «папа» и т. д.)
</li><li>
не поворачивает голову к источнику звука
</li><li>
не смотрит, куда вы указываете
</li><li>
не проявляет привязанности к ухаживающим за ним взрослым - не улыбается им
</li><li>
не реагирует на свое имя
</li><li>
не узнает знакомых людей
</li><li>
не переворачивается
</li><li>  
когда вы поднимаете ребенка, он либо очень гибкий, либо слишком жесткий  
</li><li>
не умеет сидеть даже с вашей помощью и поддержкой 
</li><li>
испытывает трудности с приемом твердой пищи
</li></ul>",1,published
12006,10-12 месяцев - Установление привычек и последовательность,10-12 months,"<p>
Понаблюдайте за поведением своего ребенка и поговорите со своим педиатром или медсестрой, если вы заметите, что к концу первого года жизни ваш ребенок:  
</p><ul><li>
не смотрит вам в глаза или не следит глазами за движущимися объектами
</li><li>
не интересуется звуками
</li><li>
не реагирует на свое имя, когда вы зовете его 
</li><li>
не лепечет 
</li><li>
никоим образом не пытается сообщить вам о своем желании или потребностях 
</li><li>
не указывает на объекты
</li><li>
не проявляет эмоций
</li><li>
не ползает
</li></ul> 
",1,published
12007,13-18 месяцев - Первые шаги и первые слова,13-18 months,"<p>
Понаблюдайте за вашим ребенком и поговорите со своим педиатром если вы заметили что ваш ребенок:
</p><ul><li>
плохо видит или частично слышит   
</li><li>
не произносит ни слова  
</li><li>
затрудняется выполнять даже простые инструкции
</li><li>
не использует жесты и указательный жест при общении  
</li><li>
не смотрит вам в глаза и не обнимается  
</li><li>
не ходит самостоятельно 
</li></ul>",1,published
12008,19-24 месяцев Становясь независимым,19-24 months,"<p>  
Понаблюдайте за вашим ребенком и поговорите со своим педиатром если вы заметили что к концу второго года ваш ребенок:
</p><ul><li> 
Не смотрит на вас (зрительный контакт)
</li><li>
плохо видит или слышит определенные вещи
</li><li>
не произносит ни слова   
</li><li>
не указывает на объекты  
</li><li>
не следует простым инструкциям  
</li><li>
не проявляет чувства
</li><li>
ходит неустойчиво  
</li></ul>
",1,published
12009,25-36 месяцев Воображение начинает расцветать,25-36 months,"<p>
Понаблюдайте за вашим ребенком и поговорите со своим педиатром если вы заметили что к концу третьего года ваш ребенок:
</p><ul><li>
не смотрит на вас (зрительный контакт)
</li><li>
плохо слышит или плохо видит некоторые вещи
</li><li>
не говорит короткими предложениями (минимум 3 слова вместе)
</li><li>
  имеет очень нечеткую речь
</li><li>
не выполняет простые инструкции
</li><li>
не хочет играть с другими детьми, игрушками и другими предметами
</li><li>
не может выдумывать и не умеет притворяться во время игры  
</li><li>
не может бегать 
</li><li>
не пишет и не рисует
</li><li>
не может держать в руке мелкие предметы
</li></ul>",1,published
12010,37-48 месяцев - Задавать вопросы,37-48 months ,"<p>
Понаблюдайте за вашим ребенком и поговорите со своим педиатром если вы заметили что к концу четвертого года ваш ребенок:   
</p><ul><li>                                                                                                                                                                                Не проявляет интерес к играм с другими или к воображаемым/ ролевым играм
</li><li>
Игнорирует других детей или не реагирует на людей вне семьи
</li><li>
Не умеет прыгать на месте
</li><li>
С трудом пишет каракули (оставляет отметки на бумаге)
</li><li>
Не выполняет инструкции, состоящие из трех частей
</li><li>
Не может рассказать любимую историю
</li></ul>",1,published
