ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 моҳ – шиносоӣ бо ҳамдигар,1st month,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ва ё  ҳамшираи худ ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири якум моҳи пас аз таваллудаш фарзанди Шумо:  
</p><ul><li>
бисёр гиря мекунад ва ӯро ором карда наметавонед
</li><li>  
хуб намемакад ва суст мехӯрад 
</li><li>  
аз меъёри эҳтимолӣ зиёдтар хоб меравад (бештар аз 16 соат дар як шабонарӯз) ё ин ки хоби безобита дорад 
</li><li>  
умуман бо даст ва пой ҳаракат намекунад
</li><li>  
аз овози баланд як қад намепарад 
</li><li>  
дар рушноии баланд чашмаш мижа намезанад
</li></ul>",1,published
12002,2 моҳ- Ислоҳҳои мутақобила ва муқаррар кардани реҷа ,2nd month,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ва ё  ҳамшираи худ ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири дуюм моҳ фарзанди Шумо: 
</p><ul><li>
зуд-зуд гиря мекунад ва шумо ӯро ором карда наметавонед
</li><li>  
ба руй, ҳатто муддати кӯтоҳ низ нигоҳ намекунад
</li><li>    
ба равшанӣ ё овози баланд  эътино намекунад 
</li><li>  
бад мехӯрад ё мехобад (ё ин ки бештар аз 16 соат дар як шабонарӯз мехобад)
</li><li>   
тамоман бо дастон ва пойҳояш ҳаракат намекунад
</li><li> 
дастонашро ба даҳонаш намебарад 
</li><li>   
ба одамон намехандад 
</li></ul>",1,published
12003,3-4 моҳ - Таҷрибаи гуногун,3-4 months,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ва ё  ҳамшираи худ ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири чоруми моҳ фарзанди Шумо: 
</p><ul><li>
 аксар вақт бисёр гиря мекунад ва ором шуда наметавонад
</li><li>  
ба чашм нигоҳ намекунад ва ба руйи одамон аҳамият намедиҳад 
</li><li>   
ба ҳаракати ашёҳо аҳамият намедиҳад
</li><li>    
ягон овоз намебарорад ва ба овоз эътино намедиҳад
</li><li>    
сари худро устуворона дошта наметавонад 
</li><li>   
ба бозича ё ашёҳое, ки дар назди ӯ ҳастанд, даст дароз намекунад 
</li><li>  
ашёҳоро ба даҳонаш намебарад
</li></ul>  ",1,published
12004,5-6 моҳ – таҳқиқоти бошиддат,5-6 months,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ва ё  ҳамшираи худ ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири шашум моҳ фарзанди Шумо:  
</p><ul><li>
доимо дуру дароз гиря мекунад ва ором шуда наметавонад
</li><li>
ба чашми шумо нигоҳ намекунад ва бо чашм аз пайи ашёҳои ҳаракаткунанда назорат намекунад 
</li><li>
гапҳои кӯдакона намезанад (ангунг) ва ба тарафи овоз намегардад
</li><li>
намехандад ва ё садоҳои ғавғо намебарорад  
</li><li>
намеғелонад  
</li><li>
гардан ва сарашро идора карда наметавонад  
</li><li>
ҳатто бо кӯмак ва дастгирии шумо низ нишаста наметавонад  
</li><li>
тамоман ба ашёҳо дароз намешавад, ҳатто вақте, ки Шумо ӯро ба ин кораш ҳавасманд мекунед
</li><li>
барои ба даст овардани ашёҳо, ки дар дастрасӣ ҳастанд, кӯшиш намекунад          /li><li>
барои ба даҳан овардани ашёҳо мушкилӣ мекашад 
</li></ul>
",1,published
12005,7-9 моҳ – Кашфиётҳои нав,7-9 months,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ва ё  ҳамшираи худ ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири нӯҳум моҳ фарзанди Шумо:  
</p><ul><li>
ба чашматон нигоҳ намекунад ва ба ашёҳои ҳаракаткунанда бо  чашмаш назорат намебарад
</li><li> 
кӯдакона сухан намекунад («ая», «дада», «оча», «ота» ва ғ) 
</li><li>
ба манбаи овоз сарашро намегардонад  
</li><li>
ба он ҷое, ки шумо ишора мекунед, нигоҳ намекунад
</li><li>
нисбат ба парасторонаш меҳр нишон намедиҳад - ба онҳо табассум намекунад 
</li><li>
ба номи худ эътино намекунад
</li><li>
одамони шиносро намешиносад
</li><li>
ғелонда наметавонад
</li><li>  
вақте, ки Шумо кӯдакро мебардоред, ӯ аз ҳад қаиш ва ё бениҳоят сахт аст 
</li><li>
ҳатто бо кӯмак ва дастгирии Шумо нишаста наметавонад 
</li><li>
дар хӯрдани хӯроки сахт душворӣ мекашад
</li></ul>",1,published
12006,10-12 моҳ – Муқаррар кардани одатҳо ва пайдарпайӣ,10-12 months,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири соли якуми ҳаёт кӯдаки Шумо: 
</p><ul><li>
ба чашматон нигоҳ намекунад ва ё бо чашмаш аз пайи ашёҳои ҳаракаткунанда пайгирӣ намекунад
</li><li>
ба овозҳо эътино намекунад
</li><li>
ба номи худ, ҳангоми ҷеғ задан эътино намекунад 
</li><li>
кӯдакона гап намезанад 
</li><li>
кушиш намекунад, ки хоҳишҳо ва талаботҳои худро ба Шумо баён кунад  
</li><li>
ба ашёҳо ишора намекунад
</li><li>
эҳсосот баён намекунад
</li><li>
гавак намекашад
</li></ul> 
",1,published
12007,13-18 моҳ – Қадамҳо ва калимаҳои аввал,13-18 months,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ҳамсуҳбат шавед агар мебинед, ки кудаки Шумо: 
</p><ul><li>
дар дидани ё шунидани баъзе чизҳо душворӣ мекашад
</li><li>
ягон калима талаффуз намекунад
</li><li>
барои иҷрои дастурҳои одитарин душворӣ мекашад  
</li><li>
 имову ишора ва имоҳои ишоратиро ҳангоми муошират истифода намебарад
</li><li>
ба чашматон нигоҳ намекунад ва оғуш намекунад
</li><li>
мустақилона роҳ намегардад 
</li></ul>",1,published
12008,19 -24 моҳ - Мустақилшавӣ,19-24 months,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири соли дуюми ҳаёт кӯдаки Шумо:
</p><ul><li> 
Ба Шумо нигоҳ намекунад (алоқаи босиравӣ)
</li><li>
дар дидан ё шунидани баъзе чизҳо душворӣ мекашад 
</li><li>
ягон калима талаффуз намекунад
</li><li>
ба ашёҳо ишора намекунад
</li><li>
дастурҳои оддиро иҷро намекунад 
</li><li>
ҳиссиёт баён намекунад
</li><li>
устуворона роҳ намеравад
</li></ul>
",1,published
12009,25-36 моҳ – Тасаввурот инкишоф меёбад,25-36 months,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири соли сеюми ҳаёт кӯдаки Шумо:
</p><ul><li>
ба Шумо нигоҳ намекунад  (алоқаи босиравӣ)
</li><li>
дар дидан ё шунидани баъзе чизҳо душворӣ мекашад 
</li><li>
бо ҷумлаҳои кӯтоҳ сухан намегӯяд (ҳадди ақалл 3 калима дар якҷоягӣ)
</li><li>
 суханрониаш хеле норавшан мебошад 
</li><li>
дастурҳои оддиро иҷро намекунад 
</li><li>
бо дигар кӯдакон, бозичаҳо ва дигар ашёҳо бозӣ кардан намехоҳад 
</li><li>
ҳангоми бозӣ хаёл карда баровардан ва вонамуд карда наметавонад
</li><li>
давида наметавонад  
</li><li>
наменависад ва расм намекашад
</li><li>
ашёи хурдро дар даст дошта наметавонад
</li></ul>",1,published
12010,37-48 моҳ – Савол пурсидан,37-48 months ,"<p>
Аз пайи рафтори фарзандатон назорат баред ва бо духтури атфол ҳамсуҳбат шавед агар Шумо пай баред, ки дар охири соли чоруми ҳаёт кӯдаки Шумо:
</p><ul><li>                                                                                                                                                          Ба бозиҳо бо дигарон ё бозиҳои боэътимод / вонамуд таваҷҷӯҳ зоҳир намекунад
</li><li>
Ignores other children or does not respond to people outside the family
</li><li>
кӯдакони дигарро нодида мегирад ва ба дигар одамон берун аз оила эътино намекунад 
</li><li>
хати каҷу килебро бо душворӣ мекашад (дар қоғаз нишона мондан)
</li><li>
Дастурҳоеро, ки аз се қисм иборат аст, иҷро намекунад 
</li><li>
ҳикояи дӯстошаашро нақл карда наметавонад
</li></ul>",1,published
