ID,Title,Child_age,Milestone_instructions,Mandatory_content,Moderation_state
12001,1 месяц - Знакомство друг с другом,1st month,"<p>
Понаблюдайте за поведением своего ребенка и поговорите со своим педиатром или патронажной патронажной медсестрой, если вы заметите, что к концу первого месяца ваш ребёнок:
</p><ul><li>
много плачет, и вы не можете успокоить малыша
</li><li>  
плохо сосет, очень медленно питается
</li><li>  
спит больше чем нужно (более 16 часов в сутки), или беспокоен во сне
</li><li>  
вообще не двигает руками или ногами
</li><li>  
не вздрагивает при громком шуме
</li><li>  
не мигает при ярком свете.
</li></ul>",1,published
12002,2 месяц - Общая корректировка и установление распорядка,2nd month,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или патронажной патронажной медсестрой, если вы заметили, что к концу второго месяца ваш ребенок:
</p><ul><li>
часто плачет, и вы не всегда можете успокоить своего ребенка
</li><li>  
не смотрит на лица даже на короткое время
</li><li>    
не реагирует на яркий свет или громкие звуки
</li><li>  
плохо ест или спит (более 16 часов в сутки)
</li><li>   
вообще не двигает руками или ногами
</li><li> 
не тянет руку в рот
</li><li>   
не улыбается людям.
</li></ul>",1,published
12003,3-4 месяцы - Разнообразный опыт,3-4 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или патронажной патронажной медсестрой, если вы заметили, что к концу второго месяца ваш ребенок:
</p><ul><li>
часто много плачет и не может успокоится
</li><li>  
не смотрит в глаза и не обращает внимания на лица людей
</li><li>   
не наблюдает за движением вещей
</li><li>    
не издает никаких звуков и не реагирует на звуки
</li><li>    
не может держатьсвою голову устойчиво
</li><li>   
не тянется за игрушкой находящейся перед собой
</li><li>  
не подносит вещи ко рту.
</li></ul>  ",1,published
12004,5-6 месяцы - Интенсивное исследование,5-6 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или патронажной патронажной медсестрой, если вы заметите, что к концу шестого месяца ваш ребенок:
</p><ul><li>
регулярно долго плачет и не может успокоится
</li><li>
не смотрит вам в глаза или не следит глазами за движущимися объектами
</li><li>
не бормочет и не поворачивается к источнику звука
</li><li>
не смеется и не издаёт визжащие звуки
</li><li>
не переворачивается
</li><li>
не может удержать свою шею и голову
</li><li>
не может сидеть даже с вашей помощью и поддержкой
</li><li>
совсем не тянется к предметам, даже когда вы помогаете ему
</li><li>
не пытается получить то, что находится в пределах досягаемости
</li><li>
испытывает трудности с поднесением чего-либо ко рту.
</li></ul>
",1,published
12005,7-9 месяцев - Новые открытия,7-9 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром или патронажной медсестрой, если вы заметили, что к концу девятого месяца ваш ребенок:
</p><ul><li>
не смотрит вам в глаза или не следит глазами за движущимися объектами
</li><li> 
Не лепечет («мама», «папа» и т. д.)
</li><li>
Не поворачивает голову к источнику звука
</li><li>
не смотрит туда, куда вы указываете
</li><li>
не проявляет привязанности к своим родителям (опекунам) - не улыбается им
</li><li>
не реагирует на свое имя
</li><li>
не узнает близких людей
</li><li>
не переворачивается
</li><li>  
когда вы поднимаете его, он либо расслабленный, либо слишком напряжённый
</li><li>
не может сидеть даже с вашей помощью и поддержкой
</li><li>
с трудом ест твёрдую пищу
</li></ul>",1,published
12006,10-12 месяцев - формирование привычек и последовательности,10-12 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром, если вы заметите, что к концу первого года жизни ваш ребенок:
</p><ul><li>
не смотрит вам в глаза или не следит глазами за движущимися объектами
</li><li>
не интересуется звуками
</li><li>
не реагирует на свое имя, когда вы зовёте ее/его
</li><li>
не болтает
</li><li>
никак не пытается донести до вас свои желания или потребности
</li><li>
не указывает на объекты
</li><li>
не проявляет эмоций
</li><li>
не ползает
</li></ul> 
",1,published
12007,13-18 месяцев - Первый шаг и первое слово,13-18 months,"<p>
Наблюдайте за поведением своего ребенка и поговорите со своим педиатром, если вы заметили, что ваш ребенок:
</p><ul><li>
плохо видит или слышит некоторые вещи
</li><li>
не говорит ни слова
</li><li>
затрудняется выполнять даже простые указания
</li><li>
не использует жесты и указания при общении  
</li><li>
не смотрит вам в глаза и не обнимает
</li><li>
не ходит самостоятельно.
</li></ul>",1,published
12008,19-24 месяцев - Обретение независимости,19-24 months,"<p>
Следите за поведением вашего ребенка и поговорите со своим педиатром, если вы заметите, что к концу второго года жизни ваш ребенок:
</p><ul><li> 
Не смотрит на вас (зрительный контакт)
</li><li>
плохо видит или слышит определенные вещи
</li><li>
не говорит ни слова
</li><li>
не указывает на объекты
</li><li>
не следует простым указаниям
</li><li>
не проявляет чувств
</li><li>
не ходит устойчиво
</li></ul>
",1,published
12009,25-36 месяцев - Расцвет воображения,25-36 months,"<p>
Следите за поведением своего ребенка и поговорите со своим педиатром, если вы заметите, что к концу третьего года жизни ваш ребенок:
</p><ul><li>
Не смотрит на вас (зрительный контакт)
</li><li>
плохо слышит или видит некоторые вещи
</li><li>
не говорит короткими предложениями (минимум 3 слова вместе)
</li><li>
говорит нечётко
</li><li>
не следует простым указаниям
</li><li>
не хочет играть с другими детьми, игрушками и другими предметами
</li><li>
не фантазирует и не может применить сюжетные игры
</li><li>
не может бегать
</li><li>
не пишет и не рисует
</li><li>
не может держать в руке мелкие предметы.
</li></ul>",1,published
12010,37-48 месяцев- Задаём вопросы,37-48 months ,"<p>
Следите за поведением своего ребенка и поговорите со своим педиатром, если вы заметите, что к концу четвертого года жизни ваш ребенок:
</p><ul><li>                                                                                                                                                                                Не проявляет интереса к играм с другими или к воображаемым / ролевым играм.
</li><li>
Игнорирует других детей или не реагирует на людей вне семьи
</li><li>
Не может прыгнуть на месте
</li><li>
С трудом пишет (делает отметки на бумаге)
</li><li>
Не следует указаниям, состоящим из трех частей.
</li><li>
Не следует указаниям, состоящим из трех частей.
</li></ul>",1,published
