ID_A,ID,Title,Body,Moderation state
3026,23001,Περισσότερα για την ανάπτυξη στους πρώτους 6 μήνες - επαρκής μυική μάζα / ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για βέλτιστη διατροφή, σωματική δραστηριότητα και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας.",Published
3031,23002,Περισσότερα για την ανάπτυξη μεταξύ 7-9 μηνών - επαρκής μυική μάζα/ ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για βέλτιστη διατροφή, σωματική δραστηριότητα και ύπνο. Παρακολουθήστε την ανάπτυξη του παιδιού σας.",Published
3036,23003,Περισσότερα σχετικά με την ανάπτυξη από 10-12 μηνών - επαρκής μυική μάζα/ ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για βέλτιστη διατροφή, σωματική δραστηριότητα και ύπνο. Παρακολουθήστε την ανάπτυξη του παιδιού σας.",Published
3041,23004,Περισσότερα σχετικά με την ανάπτυξη απο 13-24 μηνών - επαρκής μυική μάζα / ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για βέλτιστη διατροφή, σωματική δραστηριότητα και ύπνο. Παρακολουθήστε την ανάπτυξη του παιδιού σας.",Published
3046,23005,Περισσότερα σχετικά με την ανάπτυξη απο 25-60 μηνών - επαρκής μυική μάζα/ ύψος,"Μπράβο! Το παιδί σας μεγαλώνει καλά και το βάρος του είναι αρμονικό με το ύψος του. Συνεχίστε να ακολουθείτε τις συστάσεις για βέλτιστη διατροφή, σωματική δραστηριότητα και ύπνο. Παρακολουθήστε την ανάπτυξη του παιδιού σας.",Published
3051,23006,Περισσότερα για την ανάπτυξη τους πρώτους 6 μήνες - ήπιος υποσιτισμός,"Προσοχή! Το παιδί σας χάνει βάρος (ή δεν κερδίζει βάρος) και έχει ελαφριά έλλειψη μυικής μάζας / ύψους. Αυτή η κατάσταση θα μπορούσε να είχε συμβεί σε μερικές εβδομάδες, επομένως εξετάστε το ενδεχόμενο να βρείτε μερικές άμεσες αιτίες: πρόσφατες μολυσματικές ασθένειες ή διάρροια, κάποια άλλη χρόνια ασθένεια, ανεπαρκής και ακατάλληλη διατροφή, αλλαγές στο άμεσο περιβάλλον κλπ. Φροντίστε να προγραμματίσετε μια εξέταση με έναν παιδίατρο για να ανακαλύψετε την αιτία, να διορθώσετε την απώλεια και να προσδιορίσετε τη δυναμική της περαιτέρω παρακολούθησης της ανάπτυξης. Το παιδί σας χρειάζετε μεγάλη προσοχή για να αποκτήσει μια βελτιωμένη διατροφή.",Published
3056,23007,Περισσότερα για την ανάπτυξη μεταξύ 7-9 μηνών- ήπιος υποσιτισμός,"Προσοχή! Το παιδί σας χάνει βάρος (ή δεν κερδίζει βάρος) και έχει μέτρια έλλειψη βάρους για το μήκος/ύψος του. Αυτή η κατάσταση θα μπορούσε να συμβεί μέσα σε λίγες εβδομάδες, ως εκ τούτου, εξετάστε ώστε να βρείτε πιθανά άμεσα αίτια: πρόσφατη μολυσματική ασθένεια ή διάρροια, κάποια άλλη χρόνια ασθένεια, ανεπαρκής και πολύ ακατάλληλη διατροφή, αλλαγές στο άμεσο περιβάλλον κλπ. Φροντίστε να προγραμματίσετε μια εξέταση με έναν παιδίατρο για να ανακαλύψετε την αιτία, να διορθώσετε την απώλεια και να καθορίσετε τη δυναμική της περαιτέρω παρακολούθησης της ανάπτυξης. Το παιδί σας χρειάζεται μεγάλη προσοχή για να αποκτήσει μια βελτιωμένη διατροφή.",Published
3061,23008,Περισσότερα για την ανάπτυξη μεταξύ 10-12 μηνών- ήπιος υποσιτισμός,"Προσοχή! Το παιδί σας χάνει βάρος (ή δεν κερδίζει βάρος) και έχει μέτρια έλλειψη βάρους για μήκος / ύψος του. Αυτή η κατάσταση θα μπορούσε να είχε συμβεί μέσα σε λίγες εβδομάδες, επομένως εξετάστε να βρείτε ορισμένες άμεσες αιτίες: πρόσφατη μολυσματική ασθένεια ή διάρροια, κάποια άλλη χρόνια ασθένεια, ανεπαρκής και πολύ ακατάλληλη διατροφή, αλλαγές στο άμεσο περιβάλλον κλπ. Φροντίστε να προγραμματίσετε μια εξέταση με έναν παιδίατρο για να ανακαλύψετε την αιτία, να διορθώσετε την απώλεια και να προσδιορίσετε τη δυναμική της περαιτέρω παρακολούθησης της ανάπτυξης. Το παιδί σας χρειάζεται μεγάλη προσοχή για να αποκτήσει μια βελτιωμένη διατροφή.",Published
3066,23009,Περισσότερα για την ανάπτυξη μεταξύ 13-24 μηνών- ήπιος υποσιτισμός,"Προσοχή! Το παιδί σας χάνει βάρος (ή δεν κερδίζει βάρος) και αντιμετωπίζει μέτρια έλλειψη βάρους για το μήκος / ύψος του. Αυτή η κατάσταση θα μπορούσε να είχε συμβεί μέσα σε λίγες εβδομάδες, επομένως εξετάστε ώστε να ανακαλύψετε μερικές άμεσες αιτίες: πρόσφατες μολυσματικές ασθένειες ή διάρροια, κάποια άλλη χρόνια ασθένεια, ανεπαρκή και πολύ ακατάλληλη διατροφή, αλλαγές στο άμεσο περιβάλλον κλπ. Φροντίστε να προγραμματίσετε μια εξέταση με έναν παιδίατρο για να ανακαλύψετε την αιτία, να διορθώσετε την απώλεια και να προσδιορίσετε τη δυναμική της περαιτέρω παρακολούθησης της ανάπτυξης. Το παιδί σας χρειάζεται μεγάλη προσοχή έτσι ώστε να αποκτήσει μια βελτιωμένη διατροφή.",Published
3071,23010,Περισσότερα για την ανάπτυξη μεταξύ 25 - 60 μηνών - ήπιος υποσιτισμός,"Προσοχή! Το παιδί σας χάνει βάρος (ή δεν κερδίζει βάρος) και έχει μέτρια έλλειψη βάρους για το μήκος/ύψος του. Η κατάσταση αυτή θα μπορούσε να συμβεί μέσα σε λίγες εβδομάδες, ως εκ τούτου, εξετάστε ώστε να βρείτε κάποια άμεσα αίτια: πρόσφατη μολυσματική ασθένεια ή διάρροια κάποια άλλη χρόνια ασθένεια, ανεπαρκής και πολύ ακατάλληλη διατροφή, αλλαγές στο άμεσο περιβάλλον κλπ. Φροντίστε να προγραμματίσετε μια εξέταση με έναν παιδίατρο για να ανακαλύψετε την αιτία, να διορθώσετε την απώλεια και να καθορίσετε τη δυναμική της περαιτέρω παρακολούθησης της ανάπτυξης. Το παιδί σας χρειάζεται μεγάλη προσοχή για να αποκτήσει μια βελτιωμένη διατροφή.",Published
3076,23011,Περισσότερα για την ανάπτυξη κατά τους πρώτους 6 μήνες - σοβαρός υποσιτισμός,"Προσοχή! Το παιδί σας έχει σοβαρή έλλειψη βάρους για το μήκος/ύψος του. Αυτή η κατάσταση θα μπορούσε να συμβεί μέσα σε λίγες εβδομάδες, ως εκ τούτου, προσπαθήστε να μάθετε κάποιες πιθανές άμεσες αιτίες, ορισμένες απο τις οποίες θα μπορούσαν να είναι: πρόσφατες ασθένειες, μεταβολικά και χρόνια νοσήματα, ανεπαρκής και ακατάλληλη διατροφή, αλλαγές στο άμεσο περιβάλλον κλπ. Συμβουλευτείτε επειγόντως έναν παιδίατρο για να διερευνήσετε την αιτία και να καθορίσετε τον τρόπο για να αντισταθμίσετε την απώλεια.",Published
3081,23012,Περισσότερα για την ανάπτυξη μεταξύ 7 - 9 μηνών - σοβαρός υποσιτισμός,"Προσοχή! Το παιδί σας έχει σοβαρή έλλειψη βάρους για το μήκος / ύψος του. Αυτή η κατάσταση θα μπορούσε να είχε συμβεί μέσα σε λίγες εβδομάδες, επομένως προσπαθήστε να ανακαλύψετε πιθανές άμεσες αιτίες, μερικές απο τις οποίες μπορεί να είναι: πρόσφατη ασθένεια, μεταβολικά και χρόνια νοσήματα, ανεπαρκής και ακατάλληλη διατροφή, αλλαγές στο άμεσο περιβάλλον κλπ. Συμβουλευτείτε επειγόντως έναν παιδίατρο για να ερευνήσετε την αιτία και να προσδιορίσετε πώς να αντισταθμίσετε την απώλεια.",Published
