ID_A,ID,Title,Body,Moderation state
3026,23001,Više o rastu u prvih 6 meseci - adekvatna težina za visinu/dužinu,"Nakon rođenja, u prvom tromesečju dete raste najbrže a zatim rast i dalje intenzivno traje ali sa blagim usporavanjem. 

U ovom periodu, kjučni uticaj na brzinu rasta imaju ishrana i još nedovoljno definisani genetski faktori, ali i odgovarajuća podrška iz najbližeg okruženja. Bolesti u detinjstvu mogu delovati ometajuće ali uz vašu odgovarajuću podršku uglavnom imaju privremen uticaj.    

Rast vašeg deteta se procenjuje merenjem  parametara rasta: telesne mase ( težine), telesne dužine (dete se meri u ležećem položaju sve do 2 godine) i obima glave, te njihovim poređenjem sa standardima rasta  koje je izdala Svetska zdravstvena organizacija (SZO).  Za svakodnevnu praksu ovi standardi su pretočeni u grafikone rasta koji su izrađeni posebno za dečake a posebno za devojčice.
	Pri svakoj preventivnoj poseti kod pedijatra ( 5 poseta u prvih 6 meseci) vaše dete če biti izmereno a dobijene vrednosti unete u karte rasta  putem kojih će se pratiti kojom brzinom vaše dete napreduje i da li se drži ustaljenog obrasca rasta.       
	Na rođenju Prosečne vrednosti telesne mase i telesne dužine, na rođenju, su nešto veće kod dečaka (oko 3600 gr i 51,5 cm)  u odnosu na devojčice ( oko 3500 gr i 50,5 cmi ), što jasno odražava uticaj genetskih faktora na rast. Obim glave je u proseku oko 35 cm.
	Prvi mesec Nemojte se iznenaditi ako vaše dete u  prvim danima po rođenju izgubi i do 10% svoje telesne mase. To je očekivano, a gubitak je privremen i nadoknadiće se uz odgovarajuću negu i ishranu, najbolje majčinim mlekom, najdalje do kraja druge nedelje života.
	Narednih dana se očekuje da dete počne da dobija na težini, u proseku  20 do 30 grama dnevno.
	Prvi mesec je mesec privikavanja deteta na uslove života u spoljašnjem okruženju i postoje velike varijacije u rastu. Zato se može desiti da vaše dete dobije samo 400 grama ili ako je krupno rođeno,  često traži da sisa i dobro spava  dobije1000 grama i više. Za ovo vreme poraste u dužinu u proseku  4,5 do 5 cm.  
	Rast glave se posebno prati jer je uslovljen brzinom rasta mozga. Mozak se puni mnoštvom informacija iz okruženja i raste fantastičnom brzinom te u ovom mesecu obim glave može porasti za  oko 2,5 cm
	Prvo tromesečje Vaše dete će nastaviti da raste približno istom brzinom koju je uspostavilo tokom prvih nekoliko nedelja života. Tokom ovih meseci se očekuje da dobija  700 do 900 gr u težini,  2,5 do 4 cm u dužini  i 1,2 cm obim glave mesečno. Navedene brojke predstavljaju samo prosečne vrednosti tako da su za tipičan rast moguća blaža odstupanja i napredovanje vašeg deteta će se procenjivati na osnovu sveukupne slike.       
	Pola godine  Od četvrtog do sedmog meseca dete će nastaviti da dobija mesečno u težini oko 450 do 550 gr, Za ovo vreme će porasti u dužinu oko 6 cm a obim glave će se povećati za oko 2,5 cm.     
	U periodu od 4. do 6. meseca većina dece udvostruči svoju telesnu masu sa rođenja.
	Godina dana Do kraja prve godine dete uglavnom utrostruči svoju težinu sa rođenja a procenat masnog  tkiva dostiže svoj vrhunac.  Za ovo vreme dete poraste u dužini oko  25 cm  ( 50% telesne dužine sa rođenja) a obim glave se poveća za 12,5 cm u proseku.  

Rast svakog deteta je jedinstven, i uglavnom sledi obrazac rasta utvrđen u prvim mesecima života a redovna merenja i vođenje karta rasta nam pomažu da ga uredno pratimo.",Draft
3031,23002,Više o rastu 7 - 9 meseci - adekvatna težina za visinu/dužinu,"Verovatno ste primetili da je dete lako usporilo rast negde oko četvrtog meseca Istim intenzitetom je nastavilo da raste i u ovom periodu.

U ovom periodu majčino mleko ( ili adaptirano mleko), nije jedina hrana koju dete koristi i postepeno se navikava na unošenje drugih namirnica biljnog i životinjskog porekla. S druge strane postaje aktivnije u kretanju i istraživanju okruženja što će u značajnoj meri odraziti na rast. Da podsetimo samo da dete raste dok spava  i da rast zavisi i od toga koliko vremena provede u spavanju  i kakav san ima.
	Važno je da dete nastavi da prti obrazac rasta koji je uspostavilo tokom prvih nedelja života
	Očekujte da će vaše dete mesečno u proseku u ovom periodu dobijati oko 1,5 do 2 cm  u dužini i 300 do 350 gr u težini. Ako je sitnije građe i vrlo živahno, biće dovoljno da dobije i 200 do  250 gr. u devetom  mesecu.
	Mozak i dalje intenzivno raste i obim glave se svakog meseca povećava za oko 0,5 cm. 

Rast svakog deteta je jedinstven i ono je već uspostavilo obrazac rasta koji će slediti.",Draft
3036,23003,Više o rastu10 - 12 meseci - adekvatna težina za visinu/dužinu,"Ovih godinu dana rasta i razvoja vašeg deteta je skoro ’’proletelo’’. Došlo je vreme prohodavanja i prve reči a telesni rast deteta lagano usporava iako je i dalje intenzivan.   

U poslednjem tromesečju odojčad mesečno dobijaju u proseku oko 200 do 250 gr u težini i oko 1 cm u dužini. Tokom ovog perioda obim glave kod deteta će porasti još za 1 cm.

Do kraja prve godine dete uglavnom utrostruči svoju težinu sa rođenja a procenat masnog  tkiva dostiže svoj vrhunac.  Za ovo vreme dete poraste u dužini oko  25 cm  ( 50% telesne dužine sa rođenja) a obim glave se poveća za 12,5 cm u proseku. 

Telesni rast vašeg deteta zavisi od nasleđa ali imajte na umu da se odvija uz vašu svakodnevnu podršku i da ste i vi zaslužni za njegovo uspešno napredovanje.",Draft
3041,23004,Više o rastu 13 -24 meseca - adekvatna težina za visinu/dužinu,"Dete dobro raste i napreduje uz:  adekvatnu ishranu, dobro zdravstveno stanje, sigurno i bezbedno okruženje za igru i učenje  i roditelje koji mu podmiruju potrebe na odgovarajući način. 
	Praćenje rasta deteta u drugoj godini podrazumeva određivanje parametara rasta; telesne mase,  telesne dužine i obima glave dva puta godišnje i praćenje njihovog kretanja kroz vreme u kartama rasta.       
	Druga godina U drugoj godini brzina rasta se usporava i postepeno se ustaljuje. Do navršene druge godine većina deca dobije još 2 do 2,5 kg,  poraste za 12 -12,5 cm, u proseku 1 cm mesečno, i dostigne skoro polovinu svoje krajnje visine.
	 U ovom periodu glava poraste u proseku još za 2 -2,5 cm i dostigne skoro  fantastičnih 90% svog ukupnog rasta.
	Poremećaj u rastu Rast je složen proces, podložan uticaju brojnih faktora od kojih neki mogu delovati ometajuće i poremetiti utvrđen obrazac rasta kao što su: neadekvatna ishrana,  hronične bolesti, lekovi, porodične neprilike i dr, te je redovno praćenje rasta deteta prilika da se poremećaj na vreme otkrije i interveniše  na odgovarajući način

Rast deteta u drugoj godini je malo sporiji u odnosu na rast u predhodnoj godini ali i dalje dovoljno brz da lako može da se poremeti Stoga je važno da se detetu omoguće uslovi za dobar napredak i rast redovno prati. ",Draft
3046,23005,Više o rastu 25 - 72 meseca - adekvatna težina za visinu/dužinu,"Dete dobro raste i napreduje uz: adekvatnu ishranu, dobro zdravstveno stanje, sigurno i bezbedno okruženje za igru i učenje  i roditelje koji mu podmiruju potrebe na odgovarajući način.  
	Pored već pomenutih faktora, hormoni samog deteta počinju da ostvaruju snažniji uticaj na rast .
	Praćenje rasta malog deteta podrazumeva određivanje parametara rasta; telesne mase i telesne dužine/visine, jednom do dva puta godišnje i praćenje njihovog kretanja kroz vreme.       
	Druga godina U drugoj godini brzina rasta se usporava i postepeno se ustaljuje. Do navršene druge godine većina deca dobije još 2 do 2,5 kg,  poraste za 12 -12,5 cm, u proseku 1 cm mesečno, i dostigne skoro polovinu svoje krajnje visine.
	 U ovom periodu glava poraste u proseku još za 2 -2,5 cm i dostigne skoro  90% svog ukupnog rasta.
	Od treće godine Telesni rast deteta se odvija i kroz promene u proporcijama. Novorođenče je imalo relativno veliku glavu i kratke noge i ruke dok sada glava usporava rast a raste telo,  naročito ruke i noge.
	Procenat masti u telu se takođe smanjuje što se vidi kroz vitkije ekstremitete i manje okruglu glavu.
	Iako rast pratimo linearno on se ipak sastoji od niza malih skokova. Deca dobiju malo u težini a zatim krenu da rastu u visinu.
	Poznate su i sezonske varijacije: deca u  proleće rastu brže u visinu dok od jeseni više dobijaju u težini.  
	Od treće godine nadalje, do puberteta, rast je uglavnom ujednačen.
	Većina dece, u tom periodu, godišnje poraste u visini  5,0 -7,5 cm  i 2-3 kg  u težini.
	Glava će za narednih destak godina porasti još 3-4 cm.
	U ovom uzrastu već postoji statistički značajna pozitivna korelacija između visine deteta i srednje visine roditelja, odnosno može se proceniti da li dete raste u skladu sa svojim genetskim potencijalom. Genetski potencijal rasta („ciljna visina”) se procenjuje na osnovu izračunavanja srednje visine roditelja prema jednačinama različitim za dečaka odnosno devojčice ( Tannerov metod)
            Ciljna visina za dečaka (cm) = (visina oca + visina majke)/2 + 6,5

            Ciljna visina za devojčicu (cm) = (visina oca + visina majke)/2 – 6,5 

Poremećaj u rastu Rast je složen proces, podložan uticaju brojnih faktora od kojih neki mogu delovati ometajuće i poremetiti utvrđen obrazac rasta kao što su: neadekvatna ishrana,  hronične bolesti, endokrini poremećaji, lekovi, porodične neprilike i dr, te je redovno praćenje rasta deteta prilika da se poremećaj na vreme otkrije i interveniše   
	Deci koja su rođena pre vremena ili sa malom telesnom masom/dužinom  na rođenju, potrebno je posvetiti posebnu pažnju jer u slučaju da posle dve godine ne postignu visinu u skladu sa visinom svojih roditelja, odnosno svojim genetskim potencijalom rasta, zahtevaju neodložno ispitivanje.    

Vaše dete očekuje od vas  da mu pružite odgovarajuće uslove za optimalni rast i razvoj!",Draft
3051,23006,Više o rastu u prvih 6 meseci - blaga pothranjenost,"Detetu koje  ne napreduje dovoljno tokom jednog ili dva meseca možda je potrebna veća količina hrane za obrok, hranljivije namirnice ili češći obroci. Dete je možda bolesno i potrebno mu je više pažnje i nege ili pomoći pri obrocima.

Ovo su neka važna pitanja koja  treba da razmotrite da bi se pomoglo u otkrivanju uzroka problema sa rastom i napredovanjem:

Da li dete jede dovoljno često? Uz dojenje, detetu  uzrasta 6-8 meseci potrebna su 2-3 obroka, a od 9. meseca 3-4 obroka druge hrane. Dodatne hranljive užine, kao što je komad voća ili hleb sa zdravim namazom, mogu biti potrebne 1-2 puta dnevno. Deci sa kašnjenjem ili smetnjama u razvoju nekada je potrebna dodatna pomoć i vreme za hranjenje.
	Da li dete dobija dovoljno hrane? Detetu uzrasta 6-8 meseci potrebno je u početku 2-3 kašičice hrane, a količina se postepeno povećava do ½ šolje (od 250ml), za svaki obrok u uzrastu 9-12meseci.
	Da li detetovi obroci sadrže dovoljno energije i hranljivih materija? Hrana koja pomaže rast deteta je pasulj, orašasti plodovi, meso, riba, jaja, mlečni proizvodi, žitarice i mahunarke. Svakodnevo uključivanje hrane životinjskog porekla je posebno značajno. Mala količina ulja može dati dodatnu energiju. Kvalitetna „hrana za rast“ posebno je važna da bi se obezbedio odgovarajući rast u težini i u visini. Namirnice kao što su prerađena masna hrana ili slatke grickalice nisu bogate vitaminima i mineralima ni drugim važnim nutrijentima i mogu dovesti do prekomernog porasta težine bez odgovarajućeg rasta u visinu.
	Da li dete dobija previše slatke hrane (kolači, keks) ili zaslađenih tečnosti (sokovi, čajevi) ili drugu nezdravu hranu za obroke ili užine. Smanjite ili zamenite ovu hranu hranljivim namirnicama, kao što su voće, povrće, žitarice, meso prema preporukama za ishranu.
	Da li dete dobija previše mlečne formule ili drugih tečnosti (sokovi, čajevi) a nedovoljno čvrste hrane. Tečnost ispunjava želudac i smanjuje potrebu deteta za hranom.
	Da li dete odbija da jede? Ako dete ne voli ukus neke određene vrste hrane, treba mu ponuditi drugu. Nove namirnice traba uvoditi postepeno.
	Da li je dete bolesno? Bolesno dete treba ohrabrivati da jede male, češće obroke. Podoji treba da budu češći. Posle bolesti, dete treba da jede više nego uobičajeno da bi  nadoknadilo izgubljenu težinu, energiju i nutrijente. Ukoliko je dete često bolesno, treba potražiti pomoć lekara.
	Da li dete dobija dovoljno namirnica koje sadrže vitamin A? Majčino mleko je bogato vitaminom A. Ostale namirnice koje ga sadrže su džigerica, jaja, mlečni proizvodi, žuto i narandžasto voće i povrće i zeleno lisnato povrće. Ukoliko ove namirnice nisu raspoložive u dovoljnoj količini, detetu treba dati suplementaciju (tablete ili sirup svakih 4-6 meseci).
	Da li dete dobija mlečnu formulu iz flašice? Ako se dete hrani mlečnom formulom, preporučuje se čista šolja ili čašica radije nego flašica sa cuclom.
	Da li se hrana priprema i čuva na čist i bezbedan način? Ako ne, dete će često biti bolesno. Sirovu hranu treba dobro prati ili kuvati, koristeći čistu vodu iz bezbednog izvora. Kuvanu hranu treba odmah pojesti; preostalu hranu treba pažljivo čuvati i pravilno podgrejati pre jela.
	Da li je dete često samo ili prepušteno brizi starije dece?  Detetu je potrebno više pažnje  od strane odraslih, posebno za vreme obroka.",Draft
3056,23007,Više o rastu 7 - 9 meseci - blaga pothranjenost,"Detetu koje  ne napreduje dovoljno tokom jednog ili dva meseca možda je potrebna veća količina hrane za obrok, hranljivije namirnice ili češći obroci. Dete je možda bolesno i potrebno mu je više pažnje i nege ili pomoći pri obrocima.

Ovo su neka važna pitanja koja  treba da razmotrite da bi se pomoglo u otkrivanju uzroka problema sa rastom i napredovanjem:

Da li dete jede dovoljno često? Uz dojenje, detetu  uzrasta 6-8 meseci potrebna su 2-3 obroka, a od 9. meseca 3-4 obroka druge hrane. Dodatne hranljive užine, kao što je komad voća ili hleb sa zdravim namazom, mogu biti potrebne 1-2 puta dnevno. Deci sa kašnjenjem ili smetnjama u razvoju nekada je potrebna dodatna pomoć i vreme za hranjenje.
	Da li dete dobija dovoljno hrane? Detetu uzrasta 6-8 meseci potrebno je u početku 2-3 kašičice hrane, a količina se postepeno povećava do ½ šolje (od 250ml), za svaki obrok u uzrastu 9-12meseci.
	Da li detetovi obroci sadrže dovoljno energije i hranljivih materija? Hrana koja pomaže rast deteta je pasulj, orašasti plodovi, meso, riba, jaja, mlečni proizvodi, žitarice i mahunarke. Svakodnevo uključivanje hrane životinjskog porekla je posebno značajno. Mala količina ulja može dati dodatnu energiju. Kvalitetna „hrana za rast“ posebno je važna da bi se obezbedio odgovarajući rast u težini i u visini. Namirnice kao što su prerađena masna hrana ili slatke grickalice nisu bogate vitaminima i mineralima ni drugim važnim nutrijentima i mogu dovesti do prekomernog porasta težine bez odgovarajućeg rasta u visinu.
	Da li dete dobija previše slatke hrane (kolači, keks) ili zaslađenih tečnosti (sokovi, čajevi) ili drugu nezdravu hranu za obroke ili užine. Smanjite ili zamenite ovu hranu hranljivim namirnicama, kao što su voće, povrće, žitarice, meso prema preporukama za ishranu.
	Da li dete dobija previše mlečne formule ili drugih tečnosti (sokovi, čajevi) a nedovoljno čvrste hrane. Tečnost ispunjava želudac i smanjuje potrebu deteta za hranom.
	Da li dete odbija da jede? Ako dete ne voli ukus neke određene vrste hrane, treba mu ponuditi drugu. Nove namirnice traba uvoditi postepeno.
	Da li je dete bolesno? Bolesno dete treba ohrabrivati da jede male, češće obroke. Podoji treba da budu češći. Posle bolesti, dete treba da jede više nego uobičajeno da bi  nadoknadilo izgubljenu težinu, energiju i nutrijente. Ukoliko je dete često bolesno, treba potražiti pomoć lekara.
	Da li dete dobija dovoljno namirnica koje sadrže vitamin A? Majčino mleko je bogato vitaminom A. Ostale namirnice koje ga sadrže su džigerica, jaja, mlečni proizvodi, žuto i narandžasto voće i povrće i zeleno lisnato povrće. Ukoliko ove namirnice nisu raspoložive u dovoljnoj količini, detetu treba dati suplementaciju (tablete ili sirup svakih 4-6 meseci).
	Da li dete dobija mlečnu formulu iz flašice? Ako se dete hrani mlečnom formulom, preporučuje se čista šolja ili čašica radije nego flašica sa cuclom.
	Da li se hrana priprema i čuva na čist i bezbedan način? Ako ne, dete će često biti bolesno. Sirovu hranu treba dobro prati ili kuvati, koristeći čistu vodu iz bezbednog izvora. Kuvanu hranu treba odmah pojesti; preostalu hranu treba pažljivo čuvati i pravilno podgrejati pre jela.
	Da li je dete često samo ili prepušteno brizi starije dece?  Detetu je potrebno više pažnje  od strane odraslih, posebno za vreme obroka.",Draft
3061,23008,Više o rastu 10 - 12 meseci - blaga pothranjenost,"Detetu koje  ne napreduje dovoljno tokom jednog ili dva meseca možda je potrebna veća količina hrane za obrok, hranljivije namirnice ili češći obroci. Dete je možda bolesno i potrebno mu je više pažnje i nege ili pomoći pri obrocima.

Ovo su neka važna pitanja koja  treba da razmotrite da bi se pomoglo u otkrivanju uzroka problema sa rastom i napredovanjem:

Da li dete jede dovoljno često? Uz dojenje, detetu  uzrasta 6-8 meseci potrebna su 2-3 obroka, a od 9. meseca 3-4 obroka druge hrane. Dodatne hranljive užine, kao što je komad voća ili hleb sa zdravim namazom, mogu biti potrebne 1-2 puta dnevno. Deci sa kašnjenjem ili smetnjama u razvoju nekada je potrebna dodatna pomoć i vreme za hranjenje.
	Da li dete dobija dovoljno hrane? Detetu uzrasta 6-8 meseci potrebno je u početku 2-3 kašičice hrane, a količina se postepeno povećava do ½ šolje (od 250ml), za svaki obrok u uzrastu 9-12meseci.
	Da li detetovi obroci sadrže dovoljno energije i hranljivih materija? Hrana koja pomaže rast deteta je pasulj, orašasti plodovi, meso, riba, jaja, mlečni proizvodi, žitarice i mahunarke. Svakodnevo uključivanje hrane životinjskog porekla je posebno značajno. Mala količina ulja može dati dodatnu energiju. Kvalitetna „hrana za rast“ posebno je važna da bi se obezbedio odgovarajući rast u težini i u visini. Namirnice kao što su prerađena masna hrana ili slatke grickalice nisu bogate vitaminima i mineralima ni drugim važnim nutrijentima i mogu dovesti do prekomernog porasta težine bez odgovarajućeg rasta u visinu.
	Da li dete dobija previše slatke hrane (kolači, keks) ili zaslađenih tečnosti (sokovi, čajevi) ili drugu nezdravu hranu za obroke ili užine. Smanjite ili zamenite ovu hranu hranljivim namirnicama, kao što su voće, povrće, žitarice, meso prema preporukama za ishranu.
	Da li dete dobija previše mlečne formule ili drugih tečnosti (sokovi, čajevi) a nedovoljno čvrste hrane. Tečnost ispunjava želudac i smanjuje potrebu deteta za hranom.
	Da li dete odbija da jede? Ako dete ne voli ukus neke određene vrste hrane, treba mu ponuditi drugu. Nove namirnice traba uvoditi postepeno.
	Da li je dete bolesno? Bolesno dete treba ohrabrivati da jede male, češće obroke. Podoji treba da budu češći. Posle bolesti, dete treba da jede više nego uobičajeno da bi  nadoknadilo izgubljenu težinu, energiju i nutrijente. Ukoliko je dete često bolesno, treba potražiti pomoć lekara.
	Da li dete dobija dovoljno namirnica koje sadrže vitamin A? Majčino mleko je bogato vitaminom A. Ostale namirnice koje ga sadrže su džigerica, jaja, mlečni proizvodi, žuto i narandžasto voće i povrće i zeleno lisnato povrće. Ukoliko ove namirnice nisu raspoložive u dovoljnoj količini, detetu treba dati suplementaciju (tablete ili sirup svakih 4-6 meseci).
	Da li dete dobija mlečnu formulu iz flašice? Ako se dete hrani mlečnom formulom, preporučuje se čista šolja ili čašica radije nego flašica sa cuclom.
	Da li se hrana priprema i čuva na čist i bezbedan način? Ako ne, dete će često biti bolesno. Sirovu hranu treba dobro prati ili kuvati, koristeći čistu vodu iz bezbednog izvora. Kuvanu hranu treba odmah pojesti; preostalu hranu treba pažljivo čuvati i pravilno podgrejati pre jela.
	Da li je dete često samo ili prepušteno brizi starije dece?  Detetu je potrebno više pažnje  od strane odraslih, posebno za vreme obroka.",Draft
3066,23009,Više o rastu 13 -24 meseca - blaga pothranjenost,"Detetu koje  ne napreduje dovoljno tokom jednog ili dva meseca možda je potrebna veća količina hrane za obrok, hranljivije namirnice ili češći obroci. Dete je možda bolesno i potrebno mu je više pažnje i nege ili pomoći pri obrocima.

Ovo su neka važna pitanja koja  treba da razmotrite da bi se pomoglo u otkrivanju uzroka problema sa rastom i napredovanjem:

Da li dete jede dovoljno često? Uz dojenje, detetu  uzrasta 6-8 meseci potrebna su 2-3 obroka, a od 9. meseca 3-4 obroka druge hrane. Dodatne hranljive užine, kao što je komad voća ili hleb sa zdravim namazom, mogu biti potrebne 1-2 puta dnevno. Deci sa kašnjenjem ili smetnjama u razvoju nekada je potrebna dodatna pomoć i vreme za hranjenje.
	Da li dete dobija dovoljno hrane? Detetu uzrasta 6-8 meseci potrebno je u početku 2-3 kašičice hrane, a količina se postepeno povećava do ½ šolje (od 250ml), za svaki obrok u uzrastu 9-12meseci.
	Da li detetovi obroci sadrže dovoljno energije i hranljivih materija? Hrana koja pomaže rast deteta je pasulj, orašasti plodovi, meso, riba, jaja, mlečni proizvodi, žitarice i mahunarke. Svakodnevo uključivanje hrane životinjskog porekla je posebno značajno. Mala količina ulja može dati dodatnu energiju. Kvalitetna „hrana za rast“ posebno je važna da bi se obezbedio odgovarajući rast u težini i u visini. Namirnice kao što su prerađena masna hrana ili slatke grickalice nisu bogate vitaminima i mineralima ni drugim važnim nutrijentima i mogu dovesti do prekomernog porasta težine bez odgovarajućeg rasta u visinu.
	Da li dete dobija previše slatke hrane (kolači, keks) ili zaslađenih tečnosti (sokovi, čajevi) ili drugu nezdravu hranu za obroke ili užine. Smanjite ili zamenite ovu hranu hranljivim namirnicama, kao što su voće, povrće, žitarice, meso prema preporukama za ishranu.
	Da li dete dobija previše mlečne formule ili drugih tečnosti (sokovi, čajevi) a nedovoljno čvrste hrane. Tečnost ispunjava želudac i smanjuje potrebu deteta za hranom.
	Da li dete odbija da jede? Ako dete ne voli ukus neke određene vrste hrane, treba mu ponuditi drugu. Nove namirnice traba uvoditi postepeno.
	Da li je dete bolesno? Bolesno dete treba ohrabrivati da jede male, češće obroke. Podoji treba da budu češći. Posle bolesti, dete treba da jede više nego uobičajeno da bi  nadoknadilo izgubljenu težinu, energiju i nutrijente. Ukoliko je dete često bolesno, treba potražiti pomoć lekara.
	Da li dete dobija dovoljno namirnica koje sadrže vitamin A? Majčino mleko je bogato vitaminom A. Ostale namirnice koje ga sadrže su džigerica, jaja, mlečni proizvodi, žuto i narandžasto voće i povrće i zeleno lisnato povrće. Ukoliko ove namirnice nisu raspoložive u dovoljnoj količini, detetu treba dati suplementaciju (tablete ili sirup svakih 4-6 meseci).
	Da li dete dobija mlečnu formulu iz flašice? Ako se dete hrani mlečnom formulom, preporučuje se čista šolja ili čašica radije nego flašica sa cuclom.
	Da li se hrana priprema i čuva na čist i bezbedan način? Ako ne, dete će često biti bolesno. Sirovu hranu treba dobro prati ili kuvati, koristeći čistu vodu iz bezbednog izvora. Kuvanu hranu treba odmah pojesti; preostalu hranu treba pažljivo čuvati i pravilno podgrejati pre jela.
	Da li je dete često samo ili prepušteno brizi starije dece?  Detetu je potrebno više pažnje  od strane odraslih, posebno za vreme obroka.",Draft
3071,23010,Više o rastu 25 - 72 meseca - blaga pothranjenost,"Detetu koje  ne napreduje dovoljno tokom jednog ili dva meseca možda je potrebna veća količina hrane za obrok, hranljivije namirnice ili češći obroci. Dete je možda bolesno i potrebno mu je više pažnje i nege ili pomoći pri obrocima.

Ovo su neka važna pitanja koja  treba da razmotrite da bi se pomoglo u otkrivanju uzroka problema sa rastom i napredovanjem:

Da li dete jede dovoljno često? Uz dojenje, detetu  uzrasta 6-8 meseci potrebna su 2-3 obroka, a od 9. meseca 3-4 obroka druge hrane. Dodatne hranljive užine, kao što je komad voća ili hleb sa zdravim namazom, mogu biti potrebne 1-2 puta dnevno. Deci sa kašnjenjem ili smetnjama u razvoju nekada je potrebna dodatna pomoć i vreme za hranjenje.
	Da li dete dobija dovoljno hrane? Detetu uzrasta 6-8 meseci potrebno je u početku 2-3 kašičice hrane, a količina se postepeno povećava do ½ šolje (od 250ml), za svaki obrok u uzrastu 9-12meseci.
	Da li detetovi obroci sadrže dovoljno energije i hranljivih materija? Hrana koja pomaže rast deteta je pasulj, orašasti plodovi, meso, riba, jaja, mlečni proizvodi, žitarice i mahunarke. Svakodnevo uključivanje hrane životinjskog porekla je posebno značajno. Mala količina ulja može dati dodatnu energiju. Kvalitetna „hrana za rast“ posebno je važna da bi se obezbedio odgovarajući rast u težini i u visini. Namirnice kao što su prerađena masna hrana ili slatke grickalice nisu bogate vitaminima i mineralima ni drugim važnim nutrijentima i mogu dovesti do prekomernog porasta težine bez odgovarajućeg rasta u visinu.
	Da li dete dobija previše slatke hrane (kolači, keks) ili zaslađenih tečnosti (sokovi, čajevi) ili drugu nezdravu hranu za obroke ili užine. Smanjite ili zamenite ovu hranu hranljivim namirnicama, kao što su voće, povrće, žitarice, meso prema preporukama za ishranu.
	Da li dete dobija previše mlečne formule ili drugih tečnosti (sokovi, čajevi) a nedovoljno čvrste hrane. Tečnost ispunjava želudac i smanjuje potrebu deteta za hranom.
	Da li dete odbija da jede? Ako dete ne voli ukus neke određene vrste hrane, treba mu ponuditi drugu. Nove namirnice traba uvoditi postepeno.
	Da li je dete bolesno? Bolesno dete treba ohrabrivati da jede male, češće obroke. Podoji treba da budu češći. Posle bolesti, dete treba da jede više nego uobičajeno da bi  nadoknadilo izgubljenu težinu, energiju i nutrijente. Ukoliko je dete često bolesno, treba potražiti pomoć lekara.
	Da li dete dobija dovoljno namirnica koje sadrže vitamin A? Majčino mleko je bogato vitaminom A. Ostale namirnice koje ga sadrže su džigerica, jaja, mlečni proizvodi, žuto i narandžasto voće i povrće i zeleno lisnato povrće. Ukoliko ove namirnice nisu raspoložive u dovoljnoj količini, detetu treba dati suplementaciju (tablete ili sirup svakih 4-6 meseci).
	Da li dete dobija mlečnu formulu iz flašice? Ako se dete hrani mlečnom formulom, preporučuje se čista šolja ili čašica radije nego flašica sa cuclom.
	Da li se hrana priprema i čuva na čist i bezbedan način? Ako ne, dete će često biti bolesno. Sirovu hranu treba dobro prati ili kuvati, koristeći čistu vodu iz bezbednog izvora. Kuvanu hranu treba odmah pojesti; preostalu hranu treba pažljivo čuvati i pravilno podgrejati pre jela.
	Da li je dete često samo ili prepušteno brizi starije dece?  Detetu je potrebno više pažnje  od strane odraslih, posebno za vreme obroka.",Draft
