ID_A,ID,Title,Body,Moderation state
3026,23001,Подробнее о физическом росте в первые 6 месяцев - вес соответствует длине тела,"Браво! Ваш ребенок хорошо растет и ее/его вес соответствует длине тела.  Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за физическим ростом вашего ребенка.",Published
3031,23002,Подробнее о физическом росте 7-9 месяцев - вес соответствует длине тела,"Браво! Ваш ребенок хорошо растет и ее/его вес соответствует длине тела. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за физическим ростом вашего ребенка.",Published
3036,23003,Подробнее о физическом росте 10-12 месяцев - вес соответствует длине тела,"Браво! Ваш ребенок хорошо растет и ее/его вес соответствует длине тела. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за физическим ростом вашего ребенка.",Published
3041,23004,Подробнее о физическом росте 13-24 месяцев - вес соответствует длине тела,"Браво! Ваш ребенок хорошо растет и ее/его вес соответствует длине тела. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за физическим ростом вашего ребенка.",Published
3046,23005,Подробнее о физическом росте 25-60 месяцев - вес соответствует росту,"Браво! Ваш ребенок хорошо растет и ее/его вес соответствует росту. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за физическим ростом вашего ребенка.",Published
3051,23006,Подробнее о физическом росте в первые 6 месяцев – риск низкого веса,"Внимание! Ваш ребенок худеет (или не набирает вес) или прибавил в весе несколько меньше, чем положено по отношению к длине тела. Такая ситуация могла произойти в течение нескольких недель, поэтому постарайтесь выяснить причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или неправильное питание, обстановка в семье и т. д. Обязательно обратитесь к семейному врачу, чтобы выявить причину, откорректировать питание и определиться с дальнейшим наблюдением за динамикой роста.",Published
3056,23007,Подробнее о физическом росте 7-9 месяцев - низкий вес умеренной степени,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет низкий вес умеренной степени по отношению к длине тела. Такая ситуация могла произойти в течение нескольких недель, поэтому постарайтесь выяснить причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или неправильное питание, обстановка в семье и т. д. Обязательно обратитесь к семейному врачу, чтобы выявить причину, откорректировать питание и определиться с дальнейшим наблюдением за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.",Published
3061,23008,Подробнее о физическом росте 10-12 месяцев - низкий вес умеренной степени,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет низкий вес умеренной степени по отношению к длине тела. Такая ситуация могла произойти в течение нескольких недель, поэтому постарайтесь выяснить причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или неправильное питание, обстановка в семье и т. д. Обязательно обратитесь к семейному врачу, чтобы выявить причину, откорректировать питание и определиться с дальнейшим наблюдением за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.",Published
3066,23009,Подробнее о физическом росте 13-24 месяцев - низкий вес умеренной степени,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет низкий вес умеренной степени по отношению к длине тела. Такая ситуация могла произойти в течение нескольких недель, поэтому постарайтесь выяснить причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или неправильное питание, обстановка в семье и т. д. Обязательно обратитесь к семейному врачу, чтобы выявить причину, откорректировать питание и определиться с дальнейшим наблюдением за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.",Published
3071,23010,Подробнее о физическом росте 25-60 месяцев - низкий вес умеренной степени,"Внимание! Ваш ребенок худеет (или не набирает вес) и имеет низкий вес умеренной степени по отношению к росту. Такая ситуация могла произойти в течение нескольких недель, поэтому постарайтесь выяснить причины: недавнее инфекционное заболевание или диарея, некоторые другие хронические заболевания, недостаточное или неправильное питание, обстановка в семье и т. д. Обязательно обратитесь к семейному врачу, чтобы выявить причину, откорректировать питание и определиться с дальнейшим наблюдением за динамикой роста. О вашем ребенке нужно серьезно подумать, чтобы улучшить питание.",Published
