ID_A,ID,Title,Body,Moderation state
3026,23001,Повеќе за растот во првите 6 месеци - соодветна тежина за должина / висина,"Браво! Вашето дете расте добро и неговата тежина е во согласност со неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Водете сметка за растот на вашето дете.",Published
3031,23002,Повеќе за растот од 7-9 месеци - соодветна тежина за должина / висина,"Браво! Вашето дете расте добро и неговата тежина е во согласност со неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Водете сметка за растот на вашето дете.",Published
3036,23003,Повеќе за растот од 10-12 месеци - соодветна тежина за должина / висина,"Браво! Вашето дете расте добро и неговата тежина е во согласност со неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Водете сметка за растот на вашето дете.",Published
3041,23004,Повеќе за растот од 13-24 месеци - соодветна тежина за висина,"Браво! Вашето дете расте добро и неговата тежина е во согласност со неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Водете сметка за растот на вашето дете.",Published
3046,23005,Повеќе за растот од 25- 60 месеци - соодветна тежина за висина,"Браво! Вашето дете расте добро и неговата тежина е во согласност со неговата висина. Продолжете да ги следите препораките за оптимална исхрана, физичка активност и спиење. Водете сметка за растот на вашето дете.",Published
3051,23006,Повеќе за растот во првите 6 месеци - лесна неухранетост,"Внимание! Вашето дете губи тежина (или не добива тежина) и има умерен недостаток на тежина во однос на неговата должина / висина. Ова најверојатно се случува во последните неколку недели, па затоа размислете дали може да откриете некои непосредни причини: неодамнешно заразно заболување или дијареја, некои други хронични заболувања, недоволна и многу неправилна исхрана, промени во непосредното опкружување итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја поправите загубата и да ја одредите динамиката на понатамошно следење на растот. На вашето дете му треба големо внимание за да му се подобри исхраната.",Published
3056,23007,Повеќе за растот од 7 до 9 месеци - лесна неухранетост,"Внимание! Вашето дете губи тежина (или не добива тежина) и има умерен недостаток на тежина за неговата должина / висина. Ова се случува веќе неколку недели, па затоа размислете кои би биле некои непосредни причини: неодамнешно заразно заболување или дијареа, некоја друга хронична болест, недоволна и многу несоодветна исхрана, промени во непосредната околина итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја поправите загубата и да ја одредите динамиката на понатамошно следење на растот. Треба сериозно да се размисли за подобрување на исхраната на вашето дете.",Published
3061,23008,Повеќе за растот од 10 до 12 месеци - лесна неухранетост,"Внимание! Вашето дете губи тежина (или не добива тежина) и има умерен недостаток на тежина за неговата должина / висина. Ова се случува веќе неколку недели, па затоа размислете кои би биле некои непосредни причини: неодамнешно заразно заболување или дијареа, некоја друга хронична болест, недоволна и многу несоодветна исхрана, промени во непосредната околина итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја поправите загубата и да ја одредите динамиката на понатамошно следење на растот. Треба сериозно да се размисли за подобрување на исхраната на вашето дете.",Published
3066,23009,Повеќе за растот од 13 до 24 месеци - лесна неухранетост,"Внимание! Вашето дете губи тежина (или не добива тежина) и има умерен недостаток на тежина за неговата должина / висина. Ова се случува веќе неколку недели, па затоа размислете кои би биле некои непосредни причини: неодамнешно заразно заболување или дијареа, некоја друга хронична болест, недоволна и многу несоодветна исхрана, промени во непосредната околина итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја поправите загубата и да ја одредите динамиката на понатамошно следење на растот. Треба сериозно да се размисли за подобрување на исхраната на вашето дете.",Published
3071,23010,Повеќе за растот од 25 до 60 месеци - лесна неухранетост,"Внимание! Вашето дете губи тежина (или не добива тежина) и има умерен недостаток на тежина за неговата должина / висина. Ова се случува веќе неколку недели, па затоа размислете кои би биле некои непосредни причини: неодамнешно заразно заболување или дијареа, некоја друга хронична болест, недоволна и многу несоодветна исхрана, промени во непосредната околина итн. Задолжително закажете преглед кај педијатар за да ја откриете причината, да ја поправите загубата и да ја одредите динамиката на понатамошно следење на растот. Треба сериозно да се размисли за подобрување на исхраната на вашето дете.",Published
