ID_A,ID,Title,Body,Moderation state
3026,23001,Birinchi 6 oy ichida o'sish haqida – bolaning vazni uning uzunlik / bo'yiga  mos,"Barakalla! Farzandingiz yaxshi o'smoqda va uning vazni bo'yiga mos kelmoqda. To'g'ri ovqatlanish, jismoniy faollik va uyqu bo'yicha tavsiyalarga amal qilishda davom eting. Farzandingizning o'sishini kuzatib boring.",Published
3031,23002,7-9 oylikda o'sish haqida – bolaning vazni uning uzunlik / bo'yiga  mos,"Barakalla! Farzandingiz yaxshi o'smoqda va uning vazni bo'yiga mos kelmoqda. To'g'ri ovqatlanish, jismoniy faollik va uyqu bo'yicha tavsiyalarga amal qilishda davom eting. Farzandingizning o'sishini kuzatib boring.",Published
3036,23003,10-12 oylikda o'sish haqida – bolaning vazni uning uzunlik / bo'yiga  mos,"Barakalla! Farzandingiz yaxshi o'smoqda va uning vazni bo'yiga mos kelmoqda. To'g'ri ovqatlanish, jismoniy faollik va uyqu bo'yicha tavsiyalarga amal qilishda davom eting. Farzandingizning o'sishini kuzatib boring.",Published
3041,23004,13-24 oylikda o'sish haqida – bolaning vazni uning uzunlik / bo'yiga mos,"Barakalla! Farzandingiz yaxshi o'smoqda va uning vazni bo'yiga mos kelmoqda. To'g'ri ovqatlanish, jismoniy faollik va uyqu bo'yicha tavsiyalarga amal qilishda davom eting. Farzandingizning o'sishini kuzatib boring.",Published
3046,23005,25-60 oylikda o'sish haqida - bolaning vazni uning bo'yiga  mos,"Barakalla! Farzandingiz yaxshi o'smoqda va uning vazni bo'yiga mos kelmoqda. To'g'ri ovqatlanish, jismoniy faollik va uyqu bo'yicha tavsiyalarga amal qilishda davom eting. Farzandingizning o'sishini kuzatib boring.",Published
3051,23006,Dastlabki 6 oylikda o'sish haqida - yengil vazn etishmasligi,"Diqqat! Farzandingiz vazn yo'qotmoqda (yoki vazn qo'shmayapti) va unda uzunligi / bo'yi uchun o'rtacha vazn etishmasligi mavjud. Ushbu holat bir necha hafta ichida yuz berishi mumkin, shuning uchun buning sabablarni aniqlashni o'ylab ko'ring: yaqin orada o'tkazilgan yuqumli kasallik yoki diareya, boshqa ba'zi surunkali kasalliklar, etarli bo'lmagan yoki noto'g'ri ovqatlanish, oiladagi o'zgarishlar va boshqalar. Buning sababini aniqlash, ovqatlanishni to'g'rilash va o'sishni keyingi kuzatish dinamikasini aniqlash uchun pediatrga albatta murojaat qiling. Ovqatlanish ratsionini yaxshilash uchun bolangiz katta e'tiborga muhtoj.",Published
3056,23007,7-9 oylik o'sish haqida ko'proq ma'lumot - engil ovqatlanish,"diqqat Farzandingiz vazni yo'qotmoqda (yoki vazn orttirmayapti) va uzunligi / bo'yi uchun o'rtacha vazn etishmasligi mavjud. Bu holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni topishni o'ylab ko'ring: yaqinda yuqumli kasallik yoki diareya, boshqa surunkali kasalliklar, etarli bo'lmagan ovqatlanish va juda noto'g'ri ovqatlanish, yaqin atrofdagi o'zgarishlar va boshqalar. Buning sababini aniqlash, yo'qotishni to'g'irlash va o'sishni keyingi kuzatib borish dinamikasini aniqlash uchun pediatr bilan tekshiruvni tayinlaganingizga ishonch hosil qiling. Ratsionni yaxshilash uchun bolangiz katta e'tiborga muhtoj.",Published
3061,23008,10-12 oylik o'sish haqida ko'proq ma'lumot - engil ovqatlanish,"diqqat Farzandingiz vazni yo'qotmoqda (yoki vazn orttirmayapti) va uzunligi / bo'yi uchun o'rtacha vazn etishmasligi mavjud. Bu holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni aniqlashni o'ylab ko'ring: yaqinda yuqumli kasallik yoki diareya, boshqa surunkali kasalliklar, etarli bo'lmagan ovqatlanish va juda noto'g'ri ovqatlanish, yaqin atrofdagi o'zgarishlar va boshqalar. Buning sababini aniqlash, yo'qotishni to'g'irlash va o'sishni keyingi kuzatib borish dinamikasini aniqlash uchun pediatr bilan tekshiruvni tayinlaganingizga ishonch hosil qiling. Ratsionni yaxshilash uchun bolangiz katta e'tiborga muhtoj.",Published
3066,23009,13-24 oylik o'sish haqida ko'proq ma'lumot - engil ovqatlanish,"diqqat Farzandingiz vazni yo'qotmoqda (yoki vazn orttirmayapti) va uzunligi / bo'yi uchun o'rtacha vazn etishmasligi mavjud. Bu holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni topishni o'ylab ko'ring: yaqinda yuqumli kasallik yoki diareya, boshqa surunkali kasalliklar, etarli bo'lmagan ovqatlanish va juda noto'g'ri ovqatlanish, yaqin atrofdagi o'zgarishlar va boshqalar. Buning sababini aniqlash, yo'qotishni to'g'irlash va o'sishni keyingi kuzatib borish dinamikasini aniqlash uchun pediatr bilan tekshiruvni tayinlaganingizga ishonch hosil qiling. Ratsionni yaxshilash uchun bolangiz katta e'tiborga muhtoj.",Published
3071,23010,O'sish haqida ko'proq ma'lumot 25-60 oy - engil ovqatlanish,"diqqat Farzandingiz vazni yo'qotmoqda (yoki vazn orttirmayapti) va uzunligi / bo'yi uchun o'rtacha vazn etishmasligi mavjud. Bunday holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni aniqlashni o'ylab ko'ring: yaqinda yuqumli kasallik yoki diareya, boshqa surunkali kasalliklar, etarli bo'lmagan ovqatlanish va juda noto'g'ri ovqatlanish, yaqin atrofdagi o'zgarishlar va boshqalar. Buning sababini aniqlash, yo'qotishni to'g'irlash va o'sishni keyingi kuzatib borish dinamikasini aniqlash uchun pediatr bilan tekshiruvni tayinlaganingizga ishonch hosil qiling. Ratsionni yaxshilash uchun bolangiz katta e'tiborga muhtoj.",Published
3076,23011,Dastlabki 6 oyda o'sish haqida ko'proq ma'lumot - og'ir ovqatlanish,"diqqat Farzandingiz uzunlik / bo'y uchun og'irlik etishmovchiligiga ega. Bu holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni aniqlashni o'ylab ko'ring, ba'zi sabablar bo'lishi mumkin: so'nggi kasalliklar, metabolik va surunkali kasalliklar, etarli va noto'g'ri ovqatlanish, atrofdagi muhit o'zgarishi va boshqalar. Buning sababini o'rganish va yo'qotish o'rnini qanday qoplashni aniqlash uchun shoshilinch ravishda pediatrga murojaat qiling.",Published
3081,23012,7-9 oylik o'sish haqida ko'proq ma'lumot - og'ir ovqatlanish etishmovchiligi,"diqqat Farzandingiz uzunlik / bo'y uchun og'irlik etishmovchiligiga ega. Bu holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni aniqlashni o'ylab ko'ring, ba'zi sabablar bo'lishi mumkin: so'nggi kasalliklar, metabolik va surunkali kasalliklar, etarli va noto'g'ri ovqatlanish, atrofdagi muhit o'zgarishi va boshqalar. Buning sababini o'rganish va yo'qotish o'rnini qanday qoplashni aniqlash uchun shoshilinch ravishda pediatrga murojaat qiling.",Published
3086,23013,10-12 oylik o'sish haqida ko'proq ma'lumot - og'ir ovqatlanish,"diqqat Farzandingiz uzunlik / bo'y uchun og'irlik etishmovchiligiga ega. Bu holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni aniqlashni o'ylab ko'ring, ba'zi sabablar bo'lishi mumkin: so'nggi kasalliklar, metabolik va surunkali kasalliklar, etarli va noto'g'ri ovqatlanish, atrofdagi muhit o'zgarishi va boshqalar. Buning sababini o'rganish va yo'qotish o'rnini qanday qoplashni aniqlash uchun shoshilinch ravishda pediatrga murojaat qiling.",Published
3091,23014,O'sish haqida ko'proq ma'lumot 13 - 24 oy - og'ir ovqatlanish etishmovchiligi,"diqqat Farzandingiz uzunlik / bo'y uchun og'irlik etishmovchiligiga ega. Bu holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni aniqlashni o'ylab ko'ring, ba'zi sabablar bo'lishi mumkin: so'nggi kasalliklar, metabolik va surunkali kasalliklar, etarli va noto'g'ri ovqatlanish, atrofdagi muhit o'zgarishi va boshqalar. Buning sababini o'rganish va yo'qotish o'rnini qanday qoplashni aniqlash uchun shoshilinch ravishda pediatrga murojaat qiling.",Published
3096,23015,O'sish haqida ko'proq ma'lumot 25-60 oy - og'ir ovqatlanish etishmovchiligi,"diqqat Farzandingiz uzunlik / bo'y uchun og'irlik etishmovchiligiga ega. Bu holat bir necha hafta ichida sodir bo'lishi mumkin edi, shuning uchun ba'zi bir tezkor sabablarni aniqlashni o'ylab ko'ring, ba'zi sabablar bo'lishi mumkin: so'nggi kasalliklar, metabolik va surunkali kasalliklar, etarli va noto'g'ri ovqatlanish, atrofdagi muhit o'zgarishi va boshqalar. Buning sababini o'rganish va yo'qotish o'rnini qanday qoplashni aniqlash uchun shoshilinch ravishda pediatrga murojaat qiling.",Published
3101,23016,Dastlabki 6 oyda o'sish haqida ko'proq ma'lumot - ortiqcha vazn,"diqqat Farzandingiz bo'yi uchun o'rtacha darajada ortiqcha vaznga ega. Ushbu ortiqcha vazn uning sog'lig'iga xavf tug'dirishi mumkin, shuning uchun bunga nima sabab bo'lganligi haqida o'ylang: energiyaga boy oziq-ovqat mahsulotlarini ortiqcha iste'mol qilish (masalan, shirin va yog'li mahsulotlar), zararli ovqatlarni iste'mol qilish, jismoniy faollikning pasayishi, ko'rish vaqtining ko'payishi yoki darhol o'zgarishi atrof-muhit va boshqalar. Qo'shimcha tavsiyalar olish va bolangizning o'sishini kuzatish dinamikasini aniqlash uchun pediatr bilan uchrashishga ishonch hosil qiling.",Published
