ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Аны колуңузга алганда эс алат,"<p>Аны көтөргөндө, баланын кучагыңызга көнүп, көкүрөгүңүзгө жармашып жаткандыгын сезесиз</p>",,6286,6286,,kg-ky,published
2531,Аны менен сүйлөшкөндө толкунданып кетет,"<p>Сиздин үнүңүздү укканда наристе толкунданганын көрсөтөт, бирок анын кыймылын басаңдатып жаткандыгын байкайсыз, ал сизди тыңшап жаткандай, андыктан бирге болуңуз ...</p>",,6311,6311,,kg-ky,published
2536,"Сиз жылмайып, аны менен сүйлөшүп жатканда сизди карайт","<p>Аны менен сүйлөшкөндө, бала көздөрү менен сиздин жүзүңүздү издейт</p>",,6291,6291,,kg-ky,published
2541,Үн чыгарат,"<p>Ымыркай ыйлайт, ошондой эле үндөрдү чыгарат</p>",,6296,6296,,kg-ky,published
2546,"Акырын тийгенде, ал муштумун ачып-жумуп коёт","<p>Баланын алаканына тийгенде же ага бир нерсе салганда, ал муштумун бекем жумуп коёт. Эгер ага манжаңызды берсеңиз, ал аны катуу кармайт.</p>",,6301,6301,,kg-ky,published
2551,Колу-бутун эки тараптан эркин кыймылдатат,"<p>Ал бош турганда, баланын колу-бутунун туш келди кыймылын көрө аласыз.</p>",,6306,6306,,kg-ky,published
2556,"Курсагында жатып, башын көтөрөт","<p>Аны курсагына жаткырганда, бала дем алуу жолун тазалоо үчүн башын көтөргөнгө аракет кылат.</p>",,6281,6281,,kg-ky,published
2561,"Кубанганда, капаланганда же ачка болгондо ар кандай үндөрдү чыгарат","<p>Ымыркайдын ыйлоосу анын кандайдыр бир муктаждыктары болгондо айырмаланып турат, андыктан ал чыгарган үндөрдүн негизинде анын бактылуубу, капа болгонбу же башка бир муктаждык барбы, билинет.</p>",,6316,6316,,kg-ky,published
2566,Бир аз убакытка өзүн соорото алат,<p>Ымыркай манжасын же кичинекей колун соруп өзүн-өзү тынчтандырат.</p>,,6361,6361,,kg-ky,published
2571,"Башын үн чыккан жакка буруп, угуп жаткандыгын көрсөтөт","<p>Эгер ал адамдын үнүн же башка бир үндү укса, ымыркай ага башын бурат. Үнүн укканда ал ата-энесине же сүйлөп жаткан адамга тигиле карап, кыймылын жайлатат.</p>",,6326,6326,,kg-ky,published
2576,"Булдурап, үн чыгарат",<p>Ал ар кандай үндөрдү чыгарат.</p>,,6321,6321,,kg-ky,published
2581,Көзү менен буюмдардын жана адамдардын кыймылын байкап турат,"<p>Анын көрүү чөйрөсүндө оюнчуктар, буюмдар же адамдар кыймылдаса, ымыркай алардын кыймылынынын артынан ээрчий  кароого аракет кылат.</p>",,6336,6336,,kg-ky,published
2586,"Эгерде иш-аракет өзгөрсө, зериккенин көрсөтөт же ыйлайт","<p>Ымыркай бир абалда узак убакытка калса ыйлап, же аны колуңузда алып жүрүп кийин койсоңуз нааразычылыгын билдирет.</p>",,,,,kg-ky,published
2591,"Кээде ал муштумдарын ачык кармайт, манипуляциялайт.","<p>Ымыркай көбүнчө колдорун муштум кылып алат, бирок кээде аларды ачып, бир нече убакытка чейин ачык кармайт. Ал колдорунун кыймылын карап, оозуна алып келет.</p>",,6356,6356,,kg-ky,published
2596,"Башын бир жагына, андан кийин экинчи жагына бурат",<p>Ымыркай моюндун жана баштын ар кандай кыймылдарын жасайт.</p>,,6351,6351,,kg-ky,published
2601,Колу жана буту менен жакшы кыймылдарды жасайт,"<p>Бала бош болгондо, анын колу-бутунун туш келди кыймыл-аракетин байкоого болот.</p>",,6341,6341,,kg-ky,published
2606,"Курсагы менен жатканда, бала билектери менен төшөккө таянат","<p>Ымыркай курсагында жаткан абалда, билегине таянып, полду түртүп башын көтөрүшү мүмкүн.</p>",,6346,6346,,kg-ky,published
2611,Адамдын жүзүнө карап күлөт,"<p>Көп учурда,  жөн эле, өзүнөн-өзү  жанындагы адамдарга жылмайып коёт.</p>",,6401,6401,,kg-ky,published
2616,Адамдардын жүзүн кылдаттык менен байкайт,"<p>Адамдардын жүзүн кылдаттык менен жана тыкыр  байкап, көз менен узак контактын сактайт.</p>",,6386,6386,,kg-ky,published
2621,Ал ачууланганын же бактылуу экендигин көрсөтөт,<p>Реакцияларынан анын бир нерсеге канааттанганын же канааттанбагынын билсе болот.</p>,,6381,6381,,kg-ky,published
2626,Бир тараптан экинчи тарапка кыймылдаган оюнчукту көзү менен ээрчийт,"<p>Көрүү талаасындагы нерселер же адамдар кыймылдаса, ал көзү менен кыймыл тарапты ээрчип карайт.</p>",,6396,6396,,kg-ky,published
2631,Кобурап баштайт,"<p>Үндүүлөргө окшош үндөрдү чыгарат - а, е, и, о, у</p>",,6371,6371,,kg-ky,published
2636,Тепкичтен өйдө жана ылдый түшөт,"<p>Колдоо менен, бир бутун, андан кийин экинчи бутун кезеги менен колдонуп, тепкич менен көтөрүлөт.</p>",,6811,6811,,kg-ky,published
2641,"Оюн учурунда, мимикалык кыймыл-аракеттерди жана сезимдерди, ошондой эле  үндөрдү туурай баштайт","<p>Ага кайрылганыңызда, балаңыз сиздин кыймыл-аракетиниңизди же бет түрүңүздү кайталоого аракет кылат. Ал сүйлөшүүгө жана баарлашууга үн чыгаруу менен жооп берет.</p>",,"3626, 6376","3626, 6376",,kg-ky,published
2646,Кол менен көздүн координациясын орнотот,"<p>Кол менен көздү координациялоо жөндөмү жогорулайт, мисалы: балаңыз бир нерсени карап, ага жетүүгө аракет кылат.</p>",,6406,6406,,kg-ky,published
2651,"Тегеректерди карандаш, жыгач же мом карандаш менен көчүрөт","<p>Тегеректерди карандаш, жыгач же мом карандаш менен көчүрөт. </p>",,6826,6826,,kg-ky,published
2656,"Бир колу менен оюнчукка жетип, аны изилдеп, силкип, каккылайт","<p>Ал буюмга колун сунуп, аны баш бармагын колдонбостон, алаканынын сырты менен кармайт. Ал буюмду силкип, уруп же оозуна салып кармалайт.</p>",,6391,6391,,kg-ky,published
2666,Колдорду оозго салат,<p>Көп учурда ал колдорун оозуна салат. Ошондой эле башка нерселерди дагы оозуна салып изилдөө жүргүзөт.</p>,,6366,6366,,kg-ky,published
2671,Башын колдоосуз эле тик кармайт,<p>Жарым отурган абалда ал башын тең салмактуу жана тик кармайт.</p>,,6841,6841,,kg-ky,published
2676,"Жаткан абалда, ал билектертерине бекем таянып, чыканактарында өйдө түртүнөт","<p>Курсакка жатып, чыканагына таянып, далысын жана башын бийик көтөрөт.</p>",,,,,kg-ky,published
2681,"Татаал оюнду ойлоп таап, ага башкаларды тартат","<p>Роль аткарып ойногонду жактырат, оюн көптөгөн фантастикалык элементтер менен элестетилген. Кээде эмнеси чындык, эмнеси ойдон чыгарылганы белгисиз. </p>",,6831,6831,,kg-ky,published
2686,Жөнөкөй ырлардан үзүндүлөрдү ырдайт,<p>Жөнөкөй ырлардан үзүндүлөрдү ырдайт.</p>,,,,,kg-ky,published
2691,Курсактан далысына жана далысынан курсагына эки тараптуу  оодарылат,"<p>Айланып, каалаган тарапка (солго да, оң жагына да), далысынан курсагына да, курсагынан далысына оодарыла алат.</p>",,6426,6426,,kg-ky,published
2696,Бир аз колдоо менен отура алат,"<p>Бала колдоо менен же бир нерсени кармап, отура алат, жана бир аз убакытка чейин өз алдынча отурган абалын сактайт.</p>",,,,,kg-ky,published
2701,2-3 сөздөн турган сүйлөмдү айта алат,"<p>Үй-бүлө мүчөлөрү аны түшүнүшү үчүн 2-3 сөздөн турган сүйлөмдөрдү түзүп, айта алат.</p>",,6816,6816,,kg-ky,published
2706,"Тикесинен турганда, ал бутуна таянып, салмагын кыска убакытка  көтөрө алат","<p>Балаңызды полдун үстүнө тик тургузганда, ал жерге таянат же секирип жаткандай көрүнөт.</p>",,,,,kg-ky,published
2711,"Өзүнүн аты-жөнүн, жашын жана жынысын айта алат","<p>Өзүнүн аты-жөнүн, жашын жана жынысын айта алат.</p>",,,,,kg-ky,published
2716,"Оозуна салып, буюмдарды изилдейт.","<p>Бардык нерсени оозуна салат, көбүнчө буттарын оозуна алып келет.</p>",,6436,6436,,kg-ky,published
2721,"Бир колу менен жете алган нерселерге жетет жана аларды колуна алганда, аларды бир колунан экинчи колуна өткөрөт","<p>Ал дагы деле бир колу менен буюмдарга умтулат, бирок алаканынын радиалдык бөлүгүн, баш бармагын жана сөөмөйүн гана колдонуп, башка манжаларын катыштырбай, аларды бир колунан экинчи колуна өткөрөт.</p>",,6431,6431,,kg-ky,published
2726,Татаал сөздөрдү түшүнөт,"<p>""Окшош"" жана ""ар кандай"", ""оңой"" жана ""кыйын"", ""жакшы"" жана ""жаман"", ""кичине"" жана ""чоң"" сыяктуу терминдерди түшүнөт.</p>",,6801,6801,,kg-ky,published
2731,"Үнгө үндөрдү чыгаруу менен - үндүүлөрдү бириктирип жооп берет: а, э, у ...","<p>Кимдир бирөө ага кайрылса, сүйлөсө, ырдап берсе, окуп жатса ... ымыркай жооп берет.</p>",,6421,6421,,kg-ky,published
2736,Нааразычылыгын же кубанычын катуу үн чыгарып айтат,"<p>Ал жагымсыз сезимдерди билдирүү үчүн катуу ыйлайт же нааразычылыгын билдирет, ал эми ырахатты билдирүү үчүн катуу күлөт.</p>",,6411,6411,,kg-ky,published
2741,"""Меники, сеники, аныкы"" деген сөздөрдүн маанисин түшүнөт, предлогдорду жана ат атоочторду колдонот","<p>""Мен"", ""сен"", ""биз"" сыяктуу сөздөрдү айтат жана айрым сөздөрдүн көптүк түрүн билет - ""иттер"", ""мышыктар"".</p>",,,,,kg-ky,published
2746,Ымыркай ойноого убакыт келгенин билгенде толкунданат,"<p>Ал кубанып, бактылуу көрүнөт жана оюндан, айрыкча, ата-энелери жана тааныш адамдар менен баарлашуудан ырахат алат.</p>",,6441,6441,,kg-ky,published
2751,Эки же үч буйрук камтылган көрсөтмөлөрдү аткарат,"<p>Бир нече байланынышы бар оозеки өтүнүчтөргө жооп бере алат (""куурчакты таштап, отургучка отур"", ""курткаңды чечип, тапочкаларыңды кий""). </p>",,6836,6836,,kg-ky,published
2756,"Ар түрдүү эмоцияларды көрсөтөт, башкалардын сезимдерин түшүнөт","<p>Ачуулануу, коркуу, күнөкөрлүк, уят сезимдерин көрсөтүп, боор ооруганды билдире баштайт, ошентип ал башкалардын кандай сезимде экендигин түшүнөт (мисалы, ал ыйлаган курбусун кучактап соороткусу келет).</p>",,6821,6821,,kg-ky,published
2761,"Үй-бүлө мүчөлөрүн таанып, аларды чоочун адамдардан айырмалайт. Ымыркай чоочун адамдардан коркушу мүмкүн.","<p>Үй-бүлө мүчөлөрүн таанып, аларды чоочун адамдардан айырмалайт. Ымыркай чоочун адамдардан коркушу мүмкүн. Ал тааныш адамдарды көргөндө кубанат, аларга күлөт, тааныш жана тааныш эмес адамдарга ар кандай жооп берет.</p>",,,,,kg-ky,published
2766,Балдар менен чогуу ойногонду жакшы көрөт,"<p>Оюн мындан ары жөн эле катарлаш эмес, жандаш, бирок татаал элементтерге, фантазияга жана ойноокчулукка ээ. </p>",,6931,6931,,kg-ky,published
2771,"Ата-энеси бөлмөдөн чыкканда тынчсызданып, алар кайтып келгенде кубанат.","<p>Ата-энеси бөлмөдөн чыкканда тынчсызданып, ата-энеси кайтып келгенде кубанат. Ата-энеси бөлмөдөн чыкканда ал тынчсызданганын билдирет же ыйлай баштайт. Ата-энеси же жакын адамдары кайтып келгенде, ал кубанат.</p>",,6506,6506,,kg-ky,published
2776,Ал өзүнүн атын укканда реакция кылат.,"<p>Ал өзүнүн атын укканда реакция кылат. Ал кимдир бирөө аны чакырганда, ал өзүнүн атын тааный баштайт.</p>",,6446,6446,,kg-ky,published
2781,Ата-энеден бөлүнүү оңойураак,"<p>Бөлүнүүгө реакциялар анча күчтүү эмес, ал тезирээк тынчыйт жана ата-энеси кетип жатканда жакын турган башка чоңдорго таянууну үйрөнөт.</p>",,6796,6796,,kg-ky,published
2786,"""Жок"" деген сөздүн маанисин түшүнө баштайт.","<p>""Жок"" деген сөздүн маанисин түшүнө баштайт.  Ал сөздү укканда, кыймыл-аракетти токтотуп, жактырбоочулукту байкайт.</p>",,6476,6476,,kg-ky,published
2791,"Кобурайт, муундарды түзөт жана ар кандай үндөрдү чыгарат","<p>Кобурайт, муундарды жасайт жана ар кандай үндөрдү чыгарат. Ал үндөрдүн бир нече айкалышын колдонуп, ар кандай үнсүздөрдү жана үндүүлөрдү жупташтырат, чоңдор айткан үндөрдү кайталоого же тууроого аракет кылат.</p>",,6451,6451,,kg-ky,published
2796,Тепкич менен өйдө жана ылдый түшө алат,"<p>Колдоо менен тепкичтен өйдө жана ылдый түшө алат, тепкичтерден көтөрүлүп, бир аз жардам менен ылдый түшө алат.</p>",,6626,6626,,kg-ky,published
2801,Кыймылдар аркылуу сүйлөшө баштайт.,"<p>Кыймылдар аркылуу сүйлөшө баштайт. Ал сүйлөбөй эле, керектүү нерселерди колу менен көрсөтүп же башын чайкап ""жок"" деп көрсөтөт.</p>",,6481,6481,,kg-ky,published
2806,"Кулап бараткан нерсени ээрчий карап, катылган нерсени издейт","<p>Кулап бараткан нерсени ээрчий карап, катылган нерсени издейт. Эгерде буюм чынынын же жууркандын астында катылса, ымыркай аны табууга аракет кылат. Бир нерсе кулаганда же аны энеси ыргытса, ымыркай ыргытылган нерсени көзү менен издейт.</p>",,6496,6496,,kg-ky,published
2811,"Бутунун учуна тура алат, чуркайт, секирет, топту тебе алат","<p>Буттарынын учунда тура алат, чуркайт, секирет, топту тээп, башынан жогору ыргыта алат.</p>",,6646,6646,,kg-ky,published
2816,Бир колун экинчи колуна караганда көбүрөөк колдонот,<p>Бир колду көбүрөөк колдоно баштайт - сол же оң колун.</p>,,6666,6666,,kg-ky,published
