ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,"Расслабляется, когда вы берете его/ее на руки","<p>Когда вы носите его/ее, вы чувствуете, как ребенок привыкает к объятиям и прижимается к вашей груди.</p>",,6286,6286,,kg-ru,published
2531,"Возбуждается, когда вы с ним/ней разговариваете","<p>Когда слышит ваш голос, ребенок проявляет возбуждение, но вы также замечаете, что он/она замедляет свои движения, кажется, что слушает, поприсутствуйте...</p>",,6311,6311,,kg-ru,published
2536,"Смотрит на вас, когда вы улыбаетесь и разговариваете с ним/ ней.","<p>Когда вы  разговариваете с ребенком, он/она ищет глазами ваше лицо.</p>",,6291,6291,,kg-ru,published
2541,Издает звуки,"<p>Ребенок плачет, и в то же время издает звуки.</p>",,6296,6296,,kg-ru,published
2546,"Разжимает и сжимает кулачок, когда вы нежно прикасаетесь к нему","<p>Когда вы прикасаетесь к ладошке младенца или кладете в нее что-то, он/она плотно сжимает руку в кулачок. Если вы даете ему свой палец, то ребенок крепко за него держится.</p>",,6301,6301,,kg-ru,published
2551,Свободно двигает ручками и ножками с обеих сторон,"<p>Когда он/она в свободном положении, вы можете наблюдать совершенно беспорядочные движения ручек и ножек ребенка.</p>",,6306,6306,,kg-ru,published
2556,"Когда лежит на животе, поднимает голову.","<p>Когда вы выкладываете его/ее на животик, малыш будет пытаться поднять голову, чтобы облегчить дыхание.</p>",,6281,6281,,kg-ru,published
2561,"Издает разные звуки, когда радуется, расстраивается или хочет есть.","<p>Плач ребенка отличается, когда у него/нее есть определенные потребности, поэтому по звукам, которые он/она издает, можно определить, счастлив(а) ли он/она, расстроен(а) или есть какая-то другая потребность.</p>",,6316,6316,,kg-ru,published
2566,Может успокоить себя на некоторое время,"<p>Ребенок успокаивает себя, посасывая палец или маленькую ручку.</p>",,6361,6361,,kg-ru,published
2571,"Поворачивает голову к источнику звука и показывает, что слушает","<p>Если слышит человеческий голос или какой-то другой звук, малыш поворачивает голову в его сторону. Прислушиваясь к голосу, смотрит на родителя или говорящего, замедляя свои движения.</p>",,6326,6326,,kg-ru,published
2576,"Гулит, издает звуки",<p>Он/она издает разные звуки.</p>,,6321,6321,,kg-ru,published
2581,Следит глазами за движением предметов и людей,"<p>Когда игрушки, предметы или люди движутся в поле его/ее зрения, ребенок пытается следовать линии их движения.</p>",,6336,6336,,kg-ru,published
2586,Проявляет скуку или плачет при смене деятельности,"<p>Ребенок жалуется, плачет, если его/ее долго оставляют в одном положении, или протестует, если вы укладываете его/ее после того, как держали на руках.</p>",,,,,kg-ru,published
2591,"Иногда держит кулачки раскрытыми, манипулирует ими.","<p>Большую часть времени ребенок все еще держит руки сжатыми в кулачки, но время от времени разжимает их и держит открытыми в течение некоторого времени. Следит за движением своих рук, подносит их ко рту.</p>",,6356,6356,,kg-ru,published
2596,"Поворачивает голову в одну сторону, затем в другую",<p>Ребенок совершает множество различных движений шеей и головой.</p>,,6351,6351,,kg-ru,published
2601,Делает тонкие движения ручками и ножками,"<p>Когда ребенок свободен, можно увидеть множество мелких произвольных движений рук и ног.</p>",,6341,6341,,kg-ru,published
2606,"Когда ребенок лежит на животике, он/она опирается предплечьями на коврик.","<p>В положении лежа на животе ребенок может поднимать голову, опираясь на предплечья, отталкиваясь от пола. </p>",,6346,6346,,kg-ru,published
2611,"Смеется, глядя на лица людей","<p>Часто, легко и спонтанно улыбается людям, находящимся рядом с ним/ней.</p>",,6401,6401,,kg-ru,published
2616,Внимательно наблюдает за лицами людей,"<p>Внимательно и подробно рассматривает лица людей, поддерживает длительный зрительный контакт.</p>",,6386,6386,,kg-ru,published
2621,"Показывает, что он/она сердится или радуется.","<p>Демонстрирует узнаваемые реакции, удовлетворения или неудовлетворения.</p>",,6381,6381,,kg-ru,published
2626,"Следит глазами за игрушкой, перемещающейся из одной стороны в другую.","<p>Когда предметы или люди в поле зрения движутся, ребенок следит глазами за их траекторией движения.</p>",,6396,6396,,kg-ru,published
2631,Начинает лепетать,"<p>Вокализирует и производит звуки, напоминающие гласные - a, э, и, o, у.</p>",,6371,6371,,kg-ru,published
