ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Се опушта кога ќе го земете во вашите раце,"<p>Кога го кревате, чувствувате дека бебето се прилагодува на прегратката и се гушка на вашите гради</p>",,6286,6286,7581,mk-mk,review_after_translation
2531,Се возбудува кога зборувате со него,"<p>Кога ќе го слушне вашиот глас, бебето покажува возбуда, но исто така забележувате дека ги забавува движењата, се чини дека слуша, бидете присутни</p>",,6311,6311,7586,mk-mk,review_after_translation
2536,Ве гледа кога се насмевнувате и разговарате со него,"<p>Кога зборувате со него, бебето го бара вашето лице со своите очи</p>",,6291,6291,7591,mk-mk,review_after_translation
2541,Испушта звуци,"<p>Бебето плаче, но произведува и звуци</p>",,6296,6296,7596,mk-mk,review_after_translation
2546,Ја отвора и затвора шаката кога нежно ќе ја допрете,"<p>Кога ќе ја допрете дланката на бебето или ставите нешто во неа, тоа цврсто ќе ја затвори во тупаница. Ако му дадете прст, тоа го држи цврсто.</p>",,6301,6301,7601,mk-mk,review_after_translation
2551,Ги движи рацете и нозете слободно на двете страни,"<p>Кога е слободно, може да видите потполно случајни движења на рацете и нозете на бебето.</p>",,6306,6306,7756,mk-mk,review_after_translation
2556,"Кога лежи на стомак, ја крева главата","<p>Кога ќе го ставите да лежи на стомак, бебето ќе се обиде да ја крене главата за да ги ослободи дишните патишта.</p>",,6281,6281,7606,mk-mk,review_after_translation
2561,"Испушта различни звуци кога е среќно, вознемирено или гладно","<p>Плачењето на бебето се разликува кога има одредени потреби, па врз основа на звуците што ги дава може да се препознае дали е среќно, вознемирено или има некоја друга потреба.</p>",,6316,6316,7611,mk-mk,review_after_translation
2566,Може да се смири некое време,<p>Бебето се смирува со цицање на прстот или раката.</p>,,6361,6361,7176,mk-mk,review_after_translation
2571,Ја свртува главата кон извор на звук и покажува дека слуша,"<p>Ако слушне човечки глас или некој друг звук, бебето ја свртува главата кон него. Додека го слуша гласот, гледа во родителот или лицето што зборува, забавувајќи ги движењата.</p>",,6326,6326,7721,mk-mk,review_after_translation
2576,"Гуга, прави звуци",<p>Бебето произведува различни гласови.</p>,,6321,6321,7616,mk-mk,review_after_translation
2581,Го следи движењето на предметите и луѓето со очите,"<p>Кога играчките, предметите или луѓето се движат во неговото видно поле, бебето се обидува да ја следи линијата на нивното движење.</p>",,6336,6336,7761,mk-mk,review_after_translation
