ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Opušta se kada je uzmete u naručje,<p>Kada je podignete osećate kako se beba prilagođava zagrljaju i privija se uz vas.</p>,,6286,6286,,rs-sr,published
2531,Uzbudi se kada joj nešto govorite,"<p>Kada čuje vaš glas beba pokazuje uzbuđenje, ali primećujete i da uspori svoje pokrete, izgleda kao da sluša, prisustvuje…</p>",,6311,6311,,rs-sr,published
2536,Gleda vas dok joj se smešite i pričate,"<p>Kada joj se obraćate, beba pogledom traži vaše lice.</p>",,6291,6291,,rs-sr,published
2541,Oglašava se,"<p>Beba se oglašava plakanjem, ali i proizvodi glasove</p>",,6296,6296,,rs-sr,published
2546,Otvara i zatvara šaku kada je nežno dodirnete,<p>Kada dodirnete bebin dlan ili nešto stavite u njega ona će čvrsto zatvoriti šaku. Ako joj pružite svoj prst ona se čvrsto drži za njega.</p>,,6301,6301,,rs-sr,published
2551,Kada je slobodna spontano pokreće ruke i noge,<p>Kada je slobodna možete videti potpuno nasumične pokrete bebinih ruku i nogu.</p>,,6306,6306,,rs-sr,published
2556,"Kada leži na stomaku, podiže glavu",<p>Kada je stavite u ležeći položaj na stomak beba će pokušavati da podigne glavicu kako bi oslobodila disajne puteve.</p>,,6281,6281,,rs-sr,published
2561,"Proizvodi različite zvuke kada je srećna, uznemirana ili gladna","<p>Razlikuje se bebin plač kada ima određene potrebe, pa tako na osnovu oglašavanja može da se prepozna da li je vesela, uznemirena ili ima neku drugu potrebu.</p>",,6316,6316,,rs-sr,published
2566,Može na kratko sama da se smiri,<p>Umiruje se sisajući prst ili ručicu.</p>,,6361,6361,,rs-sr,published
2571,Okreće glavu prema izvoru zvuka i pokazuje da sluša,"<p>Ukoliko čuje ljudski glas ili neki drugi zvuk beba okreće glavicu prema njemu. Dok sluša glas zagleda se u roditelja ili osobu koja govori, usporava pokrete.</p>",,6326,6326,,rs-sr,published
2576,"Guče, oglašava se",<p>Proizvodi različite glasove.</p>,,6321,6321,,rs-sr,published
2581,Prati očima kretanje stvari i ljudi,"<p>Kada se u njenom vidokrugu igračke, predmeti ili osobe pomeraju beba pokušava da prati liniju njihovog kretanja.</p>",,6336,6336,,rs-sr,published
2586,Pokazuje dosadu ili zaplače ako se aktivnost promeni,"<p> Buni se plačući ukoliko je dugo ostavljena u jednom položaju, ili pokazuje protest i ukoliko je spustite nakon držanja u naručju.</p>

<p> </p>",,,,,rs-sr,published
