ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Farzandingizni qo'lingizga olganingizda u tinchlanadi.,"<p>Farzandingizni qo‘lingizga olganingizda, uni bag‘ringizga ko‘nikib, pinjingizga kirib ketayotganligini sezasiz</p>",,6286,6286,7581,uz-uz,review_after_translation
2531,Bola bilan gaplashganingizda u hayajonlanib ketadi,"<p>Farzandingiz ovozingizni eshitganida o'z hayajonini namoyon qiladi, siz uning sizni tinglayotgandek harakatlarini sekinlashtirganini sezishingiz mumkin</p>",,6311,6311,7586,uz-uz,review_after_translation
2536,"Jilmayib qaraganingizda, unga gapirganingizda farzandingiz sizga qarab turadi.","<p>Farzandingizga gapirganingizda, u sizning yuz ifodangizni kuzatadi.</p>",,6291,6291,7591,uz-uz,review_after_translation
2541,Ovoz chiqaradi,"<p>Bola yig'laydi, shu bilan birga tovushlarni ham chiqaradi</p>",,6296,6296,7596,uz-uz,review_after_translation
2546,Unga muloyimlik bilan teginganingizda u mushtini ochadi va yopadi,"<p>Bolaning kaftiga tekkaningizda yoki unga biron bir narsani qo'yganingizda, u mushtini mahkam yopadi. Agar siz unga barmog'ingizni bersangiz, u uni mahkam ushlab oladi.</p>",,6301,6301,7601,uz-uz,review_after_translation
2551,Ikkala tomon qo'l va oyoqlarini erkin harakatlantiradi,"<p>Erkin yotgan holatida, siz bolaning qo'l va oyoqlarini tartibsiz harakatlantirayotganini ko'rishingiz mumkin</p>",,6306,6306,7756,uz-uz,review_after_translation
2556,Qornida yotganida boshini ko'taradi,"<p>Uni qorniga yotqizganingizda, bola nafas yo'lini ochish uchun boshini ko'tarishga harakat qiladi.</p>",,6281,6281,7606,uz-uz,review_after_translation
2561,"U xursand, xafa bo'lganida yoki och qolganida turli xil tovushlarni chiqaradi","<p>Kichkintoyning yig'lashi uning ehtiyojlarga qarab farqlanadi, shuning uchun bolaning tovushlariga ko'ra uning quvongani, xafa bo'lgani, yoki boshqa biron bir ehtiyoj borligini bilish mumkin.</p>",,6316,6316,7611,uz-uz,review_after_translation
2566,O'zini-o'zi bir muddat ovuntira oladi,<p>Bola barmog'ini yoki mitti qo'lchasini so'rib tinchlanadi</p>,,6361,6361,7176,uz-uz,review_after_translation
2571,"Boshini tovush manbai tomon burib, tinglayotganini ko'rsatadi","<p>Odamning ovozi yoki boshqa biron bir tovushni eshitganda, Bola boshini ovoz chiqqan tomonga qaratadi. Ovozni tinglaganda, ota-onasiga yoki gapirayotgan kishiga tikilib, harakatlarini sekinlashtiradi.</p>",,6326,6326,7721,uz-uz,review_after_translation
2576,"Chug'urlaydi, tovushlar chiqaradi",<p>U turli xil ovozlarni talaffuz qiladi.</p>,,6321,6321,7616,uz-uz,review_after_translation
2581,Ko'zlari bilan narsalar va odamlarning harakatini kuzatadi,"<p>O'yinchoqlar, narsalar yoki odamlar uning ko'rish sohasida harakat qilganda, bola harakatlar yo'nalishini kuzatishga harakat qiladi.</p>",,6336,6336,7761,uz-uz,review_after_translation
2586,"Faoliyat turi o'zgarganida, zerikayotganligini ko'rsatadi yoki yig'laydi","<p>Bola uzoq vaqt davomida bir holatda qolsa yig'lab shikoyat qiladi, qo'lingizdan tushirganingizda norozilik bildiradi.</p>",,,,7181,uz-uz,review_after_translation
2591,"Ba'zida u mushtlarini ochiq holda ushlaydi, ularni harakatlantiradi","<p>Bola hali ham ko'pincha qo'llarini mushti tugilgan holda ushlab turadi, lekin vaqti-vaqti bilan qo'llarini bo'shashtirib, mushtini ochiq holda ushlaydi. U qo'llarining harakatini kuzatadi, ularni og'ziga olib keladi.</p>",,6356,6356,7621,uz-uz,review_after_translation
2596,"Boshini bir tomonga, keyin esa boshqa tomonga buradi",<p>Bola bo'yin va boshi bilan turli xil harakatlarini amalga oshiradi.</p>,,6351,6351,7626,uz-uz,review_after_translation
2601,Qo'llari va oyoqlari bilan mayda harakatlarni amalga oshiradi,"<p>Bola erkin holatda yotganida, siz uni qo'l va oyoqlarining ko'plab tasodifiy harakatlarini kuzatishingiz mumkin</p>",,6341,6341,7631,uz-uz,review_after_translation
2606,Bola qornida yotganida bilaklari bilan gilamga suyanadi,<p>Bola qornida yotganida bilaklari bilan gilamga suyanadi.</p>,,6346,6346,7636,uz-uz,review_after_translation
2611,Odamlarni ko'rganda kuladi,"<p>Atrofidagi odamlarga tez-tez, yengilgina kulib qo'yadi</p>",,6401,6401,7641,uz-uz,review_after_translation
2616,Odamlarning yuzlarini diqqat bilan kuzatadi,"<p>Odamlarning yuzlarini diqqat va sinchkovlik bilan kuzatadi, ko' bilan uzoq aloqa qiladi.</p>",,6386,6386,7186,uz-uz,review_after_translation
2621,"O'z hissiyotlarini, g'azablangan yoki xursand bo'lganligini ko'rsatadi",<p>Qoniqqan yoki qoniqmaganligini ma'lum reaktsiyalaridan bilib olsa bo'ladi.</p>,,6381,6381,7646,uz-uz,review_after_translation
2626,Ko'zlari bilan bir tomondan boshqa tomonga harakatlanadigan o'yinchoqni kuzatib boradi,"<p>Odamlar uning ko'rish sohasida harakat qilganda, bola harakatlar yo'nalishini kuzatishga harakat qiladi.</p>",,6396,6396,7191,uz-uz,review_after_translation
2631,Chug'urlashni boshlaydi,"<p>Ovozini sayqallab a, e, i, o, u unli tovushlarga o'xshash tovushlarni talaffuz qiladi</p>",,6371,6371,7651,uz-uz,review_after_translation
2636,Zinadan yuqoriga chiqadi va pastga tushadiadi,<p>Oyoqlariga galma-gal tayanib zinapoyadan ko'tariladi.</p>,,6811,6811,7416,uz-uz,review_after_translation
2641,"O'yin paytida harakat va yuz ifodalarini ifodalashni, shuningdek, tovushlaga taqlid qilishni boshlaydi","<p>Unga murojaat qilganingizda, bolangiz sizning harakatingiz yoki yuz ifodangizni takrorlashga harakat qiladi. U nutq va so'zlashuvga tovushlarni talaffuz qilish bilan javob beradi.</p>",,"3626, 6376","3626, 6376",7656,uz-uz,review_after_translation
2646,Qo'l-ko'zni muvofiqlashtirishni muvofiqlashtiradi,"<p>Qo'l-ko'zni muvofiqlashtirish qobiliyati oshadi, masalan, bolangiz ko'rib turgan ob'ektga erishishga harakat qiladi.</p>",,6406,6406,7661,uz-uz,review_after_translation
2651,Grifel yoki mumli qalamlar yordamida aylanalar chizadi,<p>Grifel yoki mumli qalamlar yordamida aylanalar chizadi.</p>,,6826,6826,7411,uz-uz,review_after_translation
2656,"Bir qo'li bilan o'yinchoqqa cho'ziladi, uni o'rganadi, silkitadi va irg'itadi","<p>U biron jismga cho'ziladi va bosh barmog'ini ishlatmay, kaftlarining tashqi tomoni bilan ushlaydi. U jismni silkitib, urib yoki og'ziga solib boshqaradi.</p>",,6391,6391,7196,uz-uz,review_after_translation
