ID,Title,Summary,Body,Cover_video,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Related_video_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
6541,10-12 месяцев-Малышка понимает краткую инструкцию или приказ,,,13196,6,48,59,60,2381,,,0,1,,tj-tg,published
6616,Моҳи 19  – 24 – кӯдак садоҳоро бо садоҳои ҳайвонҳо монанд мекунад.,,,13296,6,50,59,60,2381,,,0,1,,tj-tg,published
6621,"Моҳи 19  – 24 – Дар раванди муошират бо одамон, кӯдак аз пайвасткунии калимаҳо ва имову ишорат истифода мебарад.",,,13291,6,50,59,60,2381,,,0,1,,tj-tg,published
6626,Моҳи 19  – 24 – кӯдак ба зина баромада ва аз он фаромада метавонад.,,,13361,6,50,59,60,2381,,,0,1,,tj-tg,published
6631,Моҳи 19  – 24 – кӯдак бозиҳои монанд ба ҳаракатҳои калонсолон бозӣ мекунад,,,13311,6,50,59,60,2381,,,0,1,,tj-tg,published
6636,Моҳи 19  – 24 – кӯдак бо кӯдакони дигар паҳлӯ ба паҳлӯ бозӣ мекунад,,,13281,6,50,59,60,2381,,,0,1,,tj-tg,published
6641,Моҳи 19 ва 24 – кӯдак ба рафтори калонсолон ва ба кӯдакони синнашон калонтар тақлид мекунад,,,13271,6,50,59,60,2381,,,0,1,,tj-tg,published
6646,"Моҳи 19  – 24 – кӯдак метавонад дар нӯги пойҳояш истад, давад, ҷаҳад, тӯпро бизанад.",,,13351,6,50,59,60,2381,,,0,1,,tj-tg,published
6656,Моҳи 19  – 24 – кӯдак бозичаҳоро аз рӯи даркориашон бозӣ мекунад.,,,13321,6,50,59,60,2381,,,0,1,,tj-tg,published
6661,Моҳи 19  – 24 – кӯдак мустақилона дар қоғаз каҷу килеб менависад.,,,13331,6,50,59,60,2381,,,0,1,,tj-tg,published
6666,Моҳи 19  – 24 – кӯдак то ҳол  як дасташро истифода мебарад,,,13341,6,50,59,60,2381,,,0,1,,tj-tg,published
6801,Моҳи 25  – 36 – кӯдак калимаҳои душворро дарк мекунад.,,,13416,6,51,59,60,,,,0,1,,tj-tg,published
6816,"Моҳи 25  – 36 – кӯдак ҷумлае, ки аз ду ва се калимаҳо иборат аст гуфта метавонад.",,,13426,6,51,59,60,,,,0,1,,tj-tg,published
6821,"Моҳи 25  – 36 – кӯдак спектри васеи эҳсосотро зоҳир мекунад, кӯшиши донистани эҳсосоти дигар одамонро мекунад.",,,13381,6,51,59,60,,,,0,1,,tj-tg,published
6831,"Моҳи 25  – 36 – кӯдак бозии душворро ташкил карда, дигаронро ба ин бозӣ ҳавасманд мекунад.",,,13436,6,51,59,60,,,,0,1,,tj-tg,published
6836,"Моҳи 25  – 36 – кӯдак ба дастурамалҳое, ки аз ду ва ё се фармоишҳо иборат аст риоя мекунад",,,13406,6,51,59,60,,,,0,1,,tj-tg,published
6931,Моҳи 25  – 36 – кӯдак дар давраи кудакон бозӣ карданро дӯст медорад.,,,13371,6,45,59,60,,,,0,1,,tj-tg,published
